elapsed_runtime_s,Temperature TS inlet (Mean),Temperature TS outlet (Mean),Tank temperature (Mean),Bypass temperature (Mean),Pump outlet pressure (Mean),TS inlet pressure (Mean),TS outlet pressure (Mean),Differential pressure (Mean),Pump to inlet DP,Total system DP,Flow rate (Mean),Pressure_Ratio,Relative_Ratio_Dev,run_specific_time_s,label
1920.387,-0.985998,-0.136439,21.693637,0.335375,0.186746,0.029086,0.002459,0.026627,0.15766,0.184287,400.712141,0.1688876767241106,0.012706759609379947,29.0,0
1921.387,-0.983373,-0.130269,21.695344,0.334456,0.18725,0.028738,0.002433,0.026305,0.158512,0.184817,399.85876,0.16594853418962482,0.004917317942420896,30.0,0
1922.387,-0.9853315,-0.13099149999999998,21.693967,0.33395149999999996,0.1870545,0.0287685,0.0024409999999999996,0.026327499999999997,0.15828599999999998,0.18461349999999999,399.811532,0.16632762008250834,0.002644192669800649,31.0,0
1923.387,-0.98729,-0.131714,21.69259,0.333447,0.186859,0.028798999999999998,0.002449,0.02635,0.15806,0.18441,399.764304,0.16670779003043126,0.00036456704210718893,32.0,0
1924.387,-0.976285,-0.116356,21.69285,0.339707,0.187029,0.029009,0.002428,0.026581,0.15802,0.184601,399.684313,0.1682118199479816,0.008654097277884132,33.0,0
1925.387,-0.985998,-0.110318,21.693506,0.339575,0.185758,0.028836,0.002522,0.026314,0.156922,0.183236,400.23123,0.16768733710163583,0.005509123446186592,34.0,0
1926.387,-0.98101,-0.114255,21.689044,0.3359,0.187969,0.028461,0.002496,0.025965,0.15950799999999998,0.185473,397.958693,0.16278078352945605,0.023912205956366894,35.0,0
1927.387,-0.992808,-0.112312,21.686569,0.335402,0.187234,0.029186,0.002602,0.026584,0.15804800000000002,0.18463200000000002,400.265584,0.1682010009553999,0.00858922299497511,36.0,0
1928.387,-0.978385,-0.105676,21.692139,0.339939,0.186919,0.028774,0.00254,0.026234,0.158145,0.18437900000000002,400.786149,0.16588468883183893,0.005300155972131404,37.0,0
1929.387,-1.001424,-0.102743,21.694355,0.340526,0.187545,0.028914,0.002556,0.026358,0.158631,0.184989,400.141143,0.1661581522013213,0.0036603785286134505,38.0,0
1930.387,-0.994088,-0.113921,21.692401,0.339939,0.186454,0.029006,0.002671,0.026335,0.157448,0.183783,400.419494,0.16726050975236426,0.002949724500225681,39.0,0
1931.387,-0.989214,-0.109709,21.689843,0.339687,0.188261,0.028912,0.002419,0.026493,0.15934900000000002,0.185842,400.822699,0.16625666771258235,0.003069646711374885,40.0,0
1932.387,-0.984761,-0.102813,21.693824,0.338833,0.185847,0.02865,0.002518,0.026132,0.157197,0.18332900000000002,401.60658,0.16623621165663685,0.0031923080359473888,41.0,0
1933.387,-0.982442,-0.108293,21.693186,0.342295,0.18593,0.028281,0.002514,0.025767,0.157649,0.18341600000000002,399.587469,0.16344433872502379,0.019933307999098426,42.0,0
1934.387,-0.969328,-0.105198,21.688256,0.344826,0.187307,0.028655,0.002543,0.026112,0.15865200000000002,0.184764,399.028954,0.16458560506262093,0.01308989492706425,43.0,0
1935.387,-0.985229,-0.103778,21.692935,0.3458,0.186908,0.028323,0.002504,0.025819,0.15858499999999998,0.18440399999999998,399.824385,0.1628075618276519,0.023751634361566132,44.0,0
1936.387,-0.990262,-0.105517,21.696,0.348596,0.187186,0.028612,0.00265,0.025962,0.158574,0.18453599999999998,398.992299,0.16372063692259184,0.0182765319822068,45.0,0
