elapsed_runtime_s,Temperature TS inlet (Mean),Temperature TS outlet (Mean),Tank temperature (Mean),Bypass temperature (Mean),Pump outlet pressure (Mean),TS inlet pressure (Mean),TS outlet pressure (Mean),Differential pressure (Mean),Pump to inlet DP,Total system DP,Flow rate (Mean),Pressure_Ratio,Relative_Ratio_Dev,run_specific_time_s,label,rel_tot_dp_change,rel_ts_dp_change,rel_p_ts_dp_change,anomaly_score,smooth_score
1700.0,-1.0679,-1.028229,-1.454359,24.838465,0.146116,0.108265,0.093783,0.0144819999999999,0.0378509999999999,0.0523329999999999,401.772973,0.382595371446687,0.0064933442986254,0.0,0,0.9819587387066189,0.980036543276707,0.983999064120727,0.2338384635118801,0.2338384635118801
1701.0,-1.061731,-1.034661,-1.45974,24.836364,0.145868,0.107945,0.092953,0.014992,0.037923,0.052915,399.641879,0.3953169496888515,0.026541484656114,1.0,0,0.9928791901603354,1.0145496379508696,0.9858708226638776,0.23461561247951973,0.23461561247951973
1702.0,-1.032331,-1.011034,-1.428634,24.836627,0.146162,0.108061,0.093278,0.014783,0.0381009999999999,0.0528839999999999,399.033669,0.387984882683324,0.0075018989379287,2.0,0,0.9922975166292939,1.0004060364079312,0.9904982257288796,0.25441046431095166,0.25441046431095166
1703.0,-1.023011,-1.006964,-1.425484,24.842271,0.146594,0.10846,0.093142,0.0153179999999999,0.038134,0.053452,400.344386,0.4016782483283073,0.0430602222281497,3.0,0,1.002955276810928,1.0366109494484603,0.9913561150611584,0.2320734347818425,0.2320734347818425
1704.0,-1.057794,-1.013002,-1.451602,24.839646,0.146052,0.107189,0.092827,0.014362,0.0388629999999999,0.0532249999999999,399.146824,0.3695450802799507,0.0403817603658857,4.0,0,0.9986959254707314,0.9719158151180889,1.0103076703105285,0.2460015410108652,0.2460015410108652
1705.0,-1.079713,-1.021272,-1.484021,24.833739,0.145979,0.107289,0.09321,0.0140789999999999,0.03869,0.0527689999999999,398.317018,0.3638830735830036,0.0550846077024133,5.0,0,0.9901396954657591,0.9527644312106585,1.0058102504776898,0.2562406296838736,0.24740501788930488
1706.0,-1.036531,-1.01274,-1.460659,24.832951,0.146943,0.109016,0.094665,0.014351,0.0379269999999999,0.0522779999999999,396.41695,0.3783748154397808,0.0174530965501135,6.0,0,0.9809267372805806,0.9711714150368815,0.9859748092496053,0.2450675336181597,0.24555494274028247
1707.0,-0.996104,-0.988982,-1.422728,24.834658,0.146236,0.107861,0.093688,0.014173,0.038375,0.052548,400.127505,0.3693193662705858,0.0409678844732974,7.0,0,0.985992926099316,0.9591256682682547,0.9976213068514174,0.2642334351529851,0.24633165224539386
1708.0,-1.045456,-0.990557,-1.474833,24.834133,0.146245,0.107494,0.092701,0.014793,0.038751,0.053544,398.38774,0.3817351362510321,0.0087271648206042,8.0,0,1.0046815337417556,1.0010827637544832,1.0073960459100788,0.2514244518176762,0.2450464538623745
1709.0,-1.077482,-1.006308,-1.496752,24.827306,0.145657,0.10752,0.093011,0.014509,0.038137,0.052646,397.949263,0.3804342125963607,0.0121053455460745,9.0,0,0.9878317650038934,0.9818637071124043,0.9914341050004561,0.25614461252529536,0.24607137458813372
1710.0,-1.050575,-1.005258,-1.487565,24.835051,0.147127,0.10952,0.094817,0.014703,0.037607,0.05231,397.190179,0.3909540523292918,0.0152121067065729,10.0,0,0.9815271744739138,0.9949922176355147,0.9776558823911728,0.21533771202165541,0.24609047049012198
1711.0,-0.993348,-0.977562,-1.430209,24.830719,0.146273,0.108276,0.093273,0.015003,0.0379969999999999,0.0529999999999999,400.037923,0.3948365703458078,0.0252940569290853,11.0,0,0.9944741014551202,1.015294038032077,0.9877945744998882,0.24238270753063385,0.24270602714250078
1712.0,-1.029049,-0.973493,-1.460659,24.825206,0.147752,0.109043,0.094008,0.015035,0.0387089999999999,0.053744,398.392455,0.3884009299922503,0.008582272098069,12.0,0,1.008434266200077,1.0174595655410434,1.0063041867599067,0.24155848048075762,0.24345398712874539
1713.0,-1.059106,-0.985438,-1.50384,24.825469,0.147136,0.10825,0.093793,0.0144569999999999,0.0388859999999999,0.0533429999999999,400.938452,0.3717694859464602,0.0346055225972461,13.0,0,1.0009100376211408,0.9783447249103269,1.0109055931784787,0.24232264203943527,0.2417439542654376
1714.0,-1.045587,-0.980056,-1.49124,24.820218,0.146907,0.108896,0.094481,0.014415,0.038011,0.052426,401.061037,0.3792223508365782,0.0152522543013513,14.0,0,0.9837037592997401,0.9755024700548149,0.9881585275499474,0.2461925000307475,0.23908293641999584
1715.0,-1.005292,-0.957479,-1.472208,24.82258,0.147054,0.108255,0.093147,0.015108,0.0387989999999999,0.053907,398.63291,0.3893814432989694,0.0111284254729668,15.0,0,1.0114927431536087,1.0223996751708737,1.0086438849388417,0.22239619620766182,0.23934075403901586
1716.0,-1.045193,-0.966667,-1.509483,24.820611,0.146769,0.108045,0.093651,0.014394,0.038724,0.053118,399.057243,0.371697869593286,0.0347914927601016,16.0,0,0.9966882136055315,0.9740813426270556,1.0066941364563984,0.25254713348060603,0.23405631828928283
1717.0,-1.053594,-0.972836,-1.514339,24.815623,0.14698,0.108318,0.093341,0.014977,0.038662,0.053639,398.185003,0.3873729405374648,0.0059128347720023,17.0,0,1.0064640816594583,1.0135345469310415,1.0050823443775765,0.2471331065199066,0.2298376175258762
1718.0,-1.018811,-0.965486,-1.487696,24.815886,0.147495,0.108475,0.09372,0.014755,0.0390199999999999,0.0537749999999999,398.807358,0.3781297250198613,0.0180895364592473,18.0,0,1.0090159397311147,0.9985111998375855,1.0143891438004484,0.22481427336325877,0.23108957080692458
1719.0,-1.000698,-0.945009,-1.462627,24.814835,0.146282,0.10773,0.093305,0.014425,0.0385519999999999,0.0529769999999999,397.840822,0.3741602469327941,0.0283973007279315,19.0,0,0.9940425372224132,0.976179197401367,1.0022227132699868,0.25872278871549564,0.23225997740465054
