Time,TS outlet pressure (Mean),Pump outlet pressure (Mean),Differential pressure (Mean),Flow rate (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Temperature TS outlet (Mean),Bypass temperature (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2021-12-07 12:05:47.034,0.399225,0.589516,0.651665,1495.917321,-1.389718,-1.235906,-1.051331,24.812276,2.0,5028.191,83.80318333333334
2021-12-07 12:05:49.034,0.399391,0.590059,0.652354,1496.235571,-1.38099,-1.236693,-1.052643,24.816148,2.0,5030.191,83.83651666666667
2021-12-07 12:05:51.033,0.399543,0.589542,0.651343,1494.28364,-1.401006,-1.234659,-1.06111,24.822384,1.999,5032.19,83.86983333333333
2021-12-07 12:05:53.034,0.398661,0.589259,0.651715,1494.566529,-1.401662,-1.225734,-1.052578,24.81733,2.001,5034.191,83.90318333333333
2021-12-07 12:05:55.033,0.399834,0.590448,0.652312,1493.86638,-1.404681,-1.241222,-1.05855,24.827306,1.999,5036.19,83.9365
2021-12-07 12:05:57.034,0.398939,0.589492,0.652005,1494.825843,-1.392147,-1.241156,-1.060257,24.828816,2.001,5038.191,83.96985
2021-12-07 12:05:59.033,0.399315,0.588755,0.650888,1493.491552,-1.385912,-1.221796,-1.05179,24.828488,1.999,5040.19,84.00316666666666
2021-12-07 12:06:01.034,0.40038,0.590771,0.652799,1492.609883,-1.380531,-1.234593,-1.058156,24.82304,2.001,5042.191,84.03651666666666
2021-12-07 12:06:03.032,0.400678,0.590536,0.651907,1493.812612,-1.383529,-1.238288,-1.05652,24.830738,1.998,5044.189,84.06981666666667
2021-12-07 12:06:05.031,0.400081,0.590335,0.652671,1494.352005,-1.399759,-1.230525,-1.051659,24.822515,1.999,5046.188,84.10313333333333
2021-12-07 12:06:07.032,0.399165,0.590521,0.652368,1494.960215,-1.384994,-1.235053,-1.049624,24.821793,2.001,5048.189,84.13648333333335
2021-12-07 12:06:09.031,0.399155,0.58971,0.651504,1493.864022,-1.388931,-1.225931,-1.050346,24.824615,1.999,5050.188,84.1698
2021-12-07 12:06:11.032,0.398813,0.589421,0.651449,1496.089412,-1.401728,-1.24365,-1.052184,24.82665,2.001,5052.189,84.20315000000001
2021-12-07 12:06:13.031,0.399283,0.589637,0.651908,1494.35672,-1.415903,-1.237153,-1.044833,24.815557,1.999,5054.188,84.23646666666667
