Time,Pressure before pump (Arith. Mean),Pressure after pump (Arith. Mean),Differential pressure (Arith. Mean),Flow rate (Arith. Mean),Tank temperature (Arith. Mean),Temperature TS inlet (Arith. Mean),Temperature TS outlet (Arith. Mean),Bypass temperature (Arith. Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2021-08-21 11:49:56.482,0.335517,0.002483,0.158533,412.857487,21.602419,-1.146456,0.194865,0.563134,2.0,2536.032,42.2672
2021-08-21 11:49:58.482,0.333381,0.002551,0.156925,410.980993,21.600516,-1.172313,0.226762,0.568385,2.0,2538.032,42.300533333333334
2021-08-21 11:50:00.482,0.33301,0.002519,0.156218,410.740538,21.600713,-1.161485,0.199788,0.564184,2.0,2540.032,42.33386666666667
2021-08-21 11:50:02.482,0.33011,0.002593,0.148073,413.908889,21.603207,-1.160041,0.204382,0.567991,2.0,2542.032,42.367200000000004
2021-08-21 11:50:04.482,0.32745,0.002477,0.141013,433.051011,21.606357,-1.181895,0.199656,0.56891,2.0,2544.032,42.400533333333335
2021-08-21 11:50:06.482,0.32749,0.002582,0.140407,436.745063,21.601501,-1.171657,0.206548,0.566219,2.0,2546.032,42.43386666666667
2021-08-21 11:50:08.482,0.327038,0.002517,0.139387,438.00156,21.604585,-1.176448,0.208648,0.570485,2.0,2548.032,42.467200000000005
2021-08-21 11:50:10.482,0.326547,0.002504,0.138211,439.349995,21.599794,-1.17671,0.203003,0.564972,2.0,2550.032,42.50053333333334
2021-08-21 11:50:12.482,0.325408,0.002388,0.13754,440.69843,21.607013,-1.174085,0.206416,0.569566,2.0,2552.032,42.53386666666667
2021-08-21 11:50:14.481,0.325797,0.002585,0.137611,439.64941,21.604309,-1.193531,0.224447,0.564564,1.999,2554.031,42.56718333333333
2021-08-21 11:50:16.481,0.326342,0.002525,0.137926,440.846947,21.608654,-1.177826,0.210354,0.570157,2.0,2556.031,42.600516666666664
2021-08-21 11:50:18.482,0.326425,0.002457,0.137323,441.760539,21.604598,-1.175059,0.2132,0.567347,2.001,2558.032,42.63386666666667
2021-08-21 11:50:20.481,0.326289,0.002469,0.137165,442.066958,21.604703,-1.197536,0.207046,0.568504,1.999,2560.031,42.667183333333334
2021-08-21 11:50:22.481,0.325098,0.002501,0.136718,441.191128,21.6078,-1.192789,0.219214,0.568582,2.0,2562.031,42.700516666666665
2021-08-21 11:50:24.481,0.324977,0.002441,0.136208,442.082226,21.604913,-1.208933,0.210682,0.567006,2.0,2564.031,42.73385
2021-08-21 11:50:26.481,0.325345,0.002506,0.136791,443.369369,21.60301,-1.200927,0.221905,0.563396,2.0,2566.031,42.767183333333335
2021-08-21 11:50:28.481,0.325487,0.00254,0.136098,442.970968,21.610294,-1.198564,0.204907,0.572717,2.0,2568.031,42.80051666666667
2021-08-21 11:50:30.481,0.325361,0.002695,0.136295,443.751268,21.608588,-1.203617,0.224793,0.568844,2.0,2570.031,42.83385
2021-08-21 11:50:32.481,0.325263,0.002491,0.13551,443.866781,21.604716,-1.22009,0.213045,0.565956,2.0,2572.031,42.86718333333333
2021-08-21 11:50:34.481,0.325408,0.002525,0.135303,444.56693,21.603141,-1.183798,0.235622,0.565628,2.0,2574.031,42.90051666666667
2021-08-21 11:50:36.481,0.32541,0.002459,0.136378,444.441988,21.605241,-1.169754,0.228993,0.563856,2.0,2576.031,42.93385
2021-08-21 11:50:38.479,0.324787,0.002414,0.136472,442.169663,21.607055,-1.193288,0.225152,0.566455,1.998,2578.029,42.96715
2021-08-21 11:50:40.481,0.326001,0.002405,0.137578,442.392968,21.608085,-1.185079,0.217747,0.564999,2.002,2580.031,43.00051666666666
2021-08-21 11:50:42.479,0.325541,0.002429,0.137764,442.242815,21.611851,-1.194799,0.214837,0.565339,1.998,2582.029,43.03381666666667
2021-08-21 11:50:44.481,0.326091,0.002442,0.137225,442.228115,21.602513,-1.197077,0.228828,0.558639,2.002,2584.031,43.06718333333333
