Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2022-06-29 15:20:20.628,21.001246,-2.095753,23.116421,-2.543594,0.071652,0.072647,0.124324,3.715851,1.0,5011.0,83.51666666666667
2022-06-29 15:20:21.628,20.997702,-2.090503,23.104081,-2.5495,0.071101,0.072311,0.124315,3.810147,1.0,5012.0,83.53333333333333
2022-06-29 15:20:22.628,20.994289,-2.084727,23.108019,-2.543463,0.071101,0.072809,0.124379,3.696992,1.0,5013.0,83.55
2022-06-29 15:20:23.628,21.002296,-2.085384,23.109988,-2.555932,0.071405,0.071859,0.124095,3.437677,1.0,5014.0,83.56666666666666
2022-06-29 15:20:24.628,20.999802,-2.078821,23.115371,-2.553963,0.070917,0.072374,0.124545,3.607411,1.0,5015.0,83.58333333333333
2022-06-29 15:20:25.628,20.998358,-2.076983,23.107232,-2.556063,0.072172,0.073424,0.124765,3.767714,1.0,5016.0,83.6
2022-06-29 15:20:26.628,21.000064,-2.070946,23.120359,-2.5453,0.071295,0.072169,0.124627,3.805433,1.0,5017.0,83.61666666666666
2022-06-29 15:20:27.628,20.99652,-2.070027,23.122591,-2.549763,0.071337,0.071912,0.12331400000000001,3.621555,1.0,5018.0,83.63333333333334
2022-06-29 15:20:28.628,20.999539,-2.06202,23.111432,-2.562888,0.071689,0.073014,0.124462,3.574407,1.0,5019.0,83.65
2022-06-29 15:20:29.628,21.000852,-2.055195,23.117208,-2.559344,0.07045,0.071486,0.124003,3.74414,1.0,5020.0,83.66666666666667
2022-06-29 15:20:30.628,21.001115,-2.050601,23.109988,-2.561969,0.070791,0.072059,0.124012,3.659273,1.0,5021.0,83.68333333333334
2022-06-29 15:20:31.628,21.003477,-2.049289,23.109726,-2.560394,0.071831,0.073502,0.124315,3.451822,1.0,5022.0,83.7
2022-06-29 15:20:32.628,20.999014,-2.04102,23.117208,-2.554488,0.071216,0.071744,0.12426,3.635699,1.0,5023.0,83.71666666666667
2022-06-29 15:20:33.628,20.998358,-2.037213,23.116027,-2.560263,0.071605,0.072521,0.123782,3.593266,1.0,5024.0,83.73333333333333
2022-06-29 15:20:34.628,21.00374,-2.036426,23.112089,-2.561182,0.071027,0.072347,0.124352,3.550833,1.0,5025.0,83.75
2022-06-29 15:20:35.628,21.002427,-2.029601,23.108676,-2.556457,0.071054,0.0722,0.124012,3.630985,1.0,5026.0,83.76666666666667
2022-06-29 15:20:36.628,21.013191,-2.025401,23.114452,-2.571419,0.070875,0.071686,0.123791,3.786573,1.0,5027.0,83.78333333333333
2022-06-29 15:20:37.628,21.002033,-2.017788,23.113927,-2.560394,0.0716,0.073256,0.124113,3.579122,1.0,5028.0,83.8
2022-06-29 15:20:38.628,21.006234,-2.010175,23.112876,-2.567744,0.070817,0.07241,0.124499,3.579122,1.0,5029.0,83.81666666666666
2022-06-29 15:20:39.628,20.998489,-2.004137,23.113533,-2.565775,0.070817,0.072374,0.124122,3.73471,1.0,5030.0,83.83333333333333
2022-06-29 15:20:40.628,21.006365,-2.002694,23.117733,-2.576144,0.070807,0.072059,0.124104,3.607411,1.0,5031.0,83.85
2022-06-29 15:20:41.628,21.005315,-1.994556,23.109595,-2.579819,0.071164,0.072431,0.124526,3.654559,1.0,5032.0,83.86666666666666
