Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m
2022-06-30 16:15:39.939,21.159022,-1.009624,22.997618,-2.09866,0.070555,0.072505,0.123718,1.320729,1.0,9637.0,160.61666666666667
2022-06-30 16:15:40.939,21.160072,-0.976679,23.002738,-2.101285,0.069925,0.071959,0.123589,1.339588,1.0,9638.0,160.63333333333333
2022-06-30 16:15:41.939,21.158891,-0.962766,22.993811,-2.101154,0.070754,0.0725,0.12437,1.448028,1.0,9639.0,160.65
2022-06-30 16:15:42.939,21.152459,-0.947278,22.998012,-2.104829,0.070256,0.0722,0.124425,1.448028,1.0,9640.0,160.66666666666666
2022-06-30 16:15:43.939,21.156134,-0.932446,22.993811,-2.098135,0.070445,0.072494,0.123598,1.41031,1.0,9641.0,160.68333333333334
2022-06-30 16:15:44.939,21.155347,-0.913545,23.001294,-2.103779,0.070513,0.071786,0.124113,1.367877,1.0,9642.0,160.7
2022-06-30 16:15:45.939,21.155872,-0.890051,23.004707,-2.098923,0.070471,0.072017,0.123819,1.627191,1.0,9643.0,160.71666666666667
2022-06-30 16:15:46.939,21.147471,-0.871019,23.000113,-2.100366,0.070728,0.073103,0.123911,1.462173,1.0,9644.0,160.73333333333332
2022-06-30 16:15:47.939,21.162435,-0.852906,23.002738,-2.099185,0.070613,0.072951,0.125022,1.52818,1.0,9645.0,160.75
2022-06-30 16:15:48.939,21.152065,-0.836893,22.999325,-2.103254,0.070928,0.072531,0.124545,1.353732,1.0,9646.0,160.76666666666668
2022-06-30 16:15:49.939,21.150621,-0.818255,22.996306,-2.102466,0.071474,0.074101,0.125418,1.53761,1.0,9647.0,160.78333333333333
2022-06-30 16:15:50.939,21.156528,-0.802898,23.002475,-2.108635,0.071038,0.073229,0.12528,1.476317,1.0,9648.0,160.8
2022-06-30 16:15:51.939,21.156922,-0.787541,22.999587,-2.110866,0.070728,0.072515,0.125252,1.523465,1.0,9649.0,160.81666666666666
2022-06-30 16:15:52.939,21.149834,-0.768247,23.001557,-2.101023,0.070555,0.072274,0.124875,1.278295,1.0,9650.0,160.83333333333334
2022-06-30 16:15:53.939,21.144977,-0.746196,22.996831,-2.108241,0.070786,0.072846,0.124095,1.202858,1.0,9651.0,160.85
2022-06-30 16:15:54.939,21.148784,-0.727558,22.996831,-2.101023,0.070172,0.072515,0.124572,1.377306,1.0,9652.0,160.86666666666667
2022-06-30 16:15:55.939,21.144977,-0.717845,22.997093,-2.107585,0.070361,0.072641,0.124453,1.726202,1.0,9653.0,160.88333333333333
2022-06-30 16:15:56.939,21.14734,-0.702357,22.992893,-2.101679,0.071316,0.072479,0.124875,1.438599,1.0,9654.0,160.9
2022-06-30 16:15:57.939,21.142614,-0.688182,22.999325,-2.107323,0.070728,0.072998,0.125022,1.471602,1.0,9655.0,160.91666666666666
2022-06-30 16:15:58.939,21.155215,-0.666131,23.000769,-2.100366,0.069946,0.07229,0.124774,1.679054,1.0,9656.0,160.93333333333334
2022-06-30 16:15:59.939,21.146815,-0.655631,22.998537,-2.106798,0.070418,0.071912,0.124683,1.712058,1.0,9657.0,160.95
2022-06-30 16:16:00.939,21.151278,-0.638043,23.002213,-2.10811,0.07066,0.072526,0.124526,1.316014,1.0,9658.0,160.96666666666667
2022-06-30 16:16:01.939,21.154034,-0.624523,22.997881,-2.102598,0.069725,0.071544,0.124554,1.556469,1.0,9659.0,160.98333333333332
2022-06-30 16:16:02.939,21.156791,-0.60746,22.998143,-2.107848,0.070744,0.072893,0.124646,1.415025,1.0,9660.0,161.0
2022-06-30 16:16:03.939,21.144583,-0.592891,23.000506,-2.103779,0.070954,0.072867,0.124646,1.551754,1.0,9661.0,161.01666666666668
2022-06-30 16:16:04.939,21.153378,-0.578322,22.996699,-2.106141,0.070613,0.072421,0.124434,1.396165,1.0,9662.0,161.03333333333333
2022-06-30 16:16:05.939,21.15049,-0.565065,22.999194,-2.108635,0.070387,0.072379,0.124784,1.27358,1.0,9663.0,161.05
2022-06-30 16:16:06.939,21.15259,-0.545377,23.002869,-2.098135,0.069941,0.072631,0.125022,1.179284,1.0,9664.0,161.06666666666666
2022-06-30 16:16:07.939,21.147077,-0.537633,22.998537,-2.105748,0.070644,0.072069,0.124444,1.382021,1.0,9665.0,161.08333333333334
2022-06-30 16:16:08.939,21.153115,-0.518601,23.002213,-2.10391,0.071526,0.07325,0.124664,1.429169,1.0,9666.0,161.1
2022-06-30 16:16:09.939,21.154297,-0.508232,22.997618,-2.102204,0.071138,0.072794,0.125105,1.52818,1.0,9667.0,161.11666666666667
2022-06-30 16:16:10.939,21.136576,-0.490513,22.992105,-2.10706,0.071075,0.072552,0.125114,1.683769,1.0,9668.0,161.13333333333333
2022-06-30 16:16:11.939,21.153772,-0.474762,22.992761,-2.104829,0.070838,0.073219,0.125124,1.415025,1.0,9669.0,161.15
2022-06-30 16:16:12.939,21.145633,-0.456518,22.997225,-2.104566,0.070319,0.072384,0.125261,1.636621,1.0,9670.0,161.16666666666666
2022-06-30 16:16:13.939,21.157053,-0.447068,23.001163,-2.103123,0.069836,0.071854,0.125353,1.551754,1.0,9671.0,161.18333333333334
2022-06-30 16:16:14.939,21.147471,-0.439061,22.999325,-2.102466,0.071069,0.073098,0.125289,1.476317,1.0,9672.0,161.2
2022-06-30 16:16:15.939,21.152853,-0.423573,22.999194,-2.101416,0.07024,0.073009,0.125491,1.353732,1.0,9673.0,161.21666666666667
2022-06-30 16:16:16.939,21.147734,-0.408873,22.996174,-2.101285,0.071012,0.072857,0.125463,1.405595,1.0,9674.0,161.23333333333332
2022-06-30 16:16:17.939,21.153115,-0.399816,22.996962,-2.099448,0.071663,0.07388,0.125601,1.287725,1.0,9675.0,161.25
2022-06-30 16:16:18.939,21.144583,-0.386691,23.000769,-2.100498,0.070712,0.072783,0.1255,1.452743,1.0,9676.0,161.26666666666668
2022-06-30 16:16:19.939,21.145108,-0.372121,22.996306,-2.093673,0.071027,0.072883,0.125776,1.349017,1.0,9677.0,161.28333333333333
2022-06-30 16:16:20.939,21.13592,-0.359652,22.99368,-2.098529,0.070124,0.072484,0.125923,1.551754,1.0,9678.0,161.3
2022-06-30 16:16:21.939,21.146552,-0.348233,23.003263,-2.101548,0.070098,0.072809,0.125555,1.344303,1.0,9679.0,161.31666666666666
2022-06-30 16:16:22.939,21.143927,-0.337077,22.999325,-2.098398,0.07024,0.072368,0.125418,1.424454,1.0,9680.0,161.33333333333334
2022-06-30 16:16:23.939,21.135264,-0.317782,22.995387,-2.09866,0.070245,0.072158,0.125666,1.240577,1.0,9681.0,161.35
2022-06-30 16:16:24.939,21.142746,-0.312269,22.996568,-2.102335,0.070676,0.072872,0.1255,1.367877,1.0,9682.0,161.36666666666667
2022-06-30 16:16:25.939,21.145108,-0.299669,22.994205,-2.099054,0.07025,0.0725,0.125491,1.532895,1.0,9683.0,161.38333333333333
2022-06-30 16:16:26.939,21.14419,-0.291138,22.992236,-2.099973,0.069405,0.071728,0.125941,1.580043,1.0,9684.0,161.4
2022-06-30 16:16:27.939,21.145371,-0.283919,22.996962,-2.100235,0.070156,0.072557,0.125289,1.429169,1.0,9685.0,161.41666666666666
2022-06-30 16:16:28.939,21.141696,-0.272499,22.992761,-2.09866,0.070529,0.071801,0.125463,1.509321,1.0,9686.0,161.43333333333334
2022-06-30 16:16:29.939,21.151803,-0.253599,22.996306,-2.100235,0.070397,0.072557,0.125032,1.462173,1.0,9687.0,161.45
2022-06-30 16:16:30.939,21.146815,-0.243492,22.989742,-2.098398,0.070912,0.072673,0.125215,1.207573,1.0,9688.0,161.46666666666667
2022-06-30 16:16:31.939,21.146552,-0.234173,22.988954,-2.095248,0.070928,0.07366,0.125372,1.53761,1.0,9689.0,161.48333333333332
2022-06-30 16:16:32.939,21.143664,-0.223542,22.991711,-2.093935,0.07045,0.072221,0.125326,1.452743,1.0,9690.0,161.5
2022-06-30 16:16:33.939,21.139595,-0.21186,22.992105,-2.097216,0.070686,0.073156,0.125271,1.424454,1.0,9691.0,161.51666666666668
2022-06-30 16:16:34.939,21.15049,-0.20241,22.997881,-2.098135,0.070025,0.072311,0.125271,1.457458,1.0,9692.0,161.53333333333333
2022-06-30 16:16:35.939,21.152328,-0.191647,22.994074,-2.094985,0.07118,0.072584,0.125335,1.278295,1.0,9693.0,161.55
2022-06-30 16:16:36.939,21.147865,-0.180753,22.99053,-2.094198,0.070056,0.072683,0.125032,1.372591,1.0,9694.0,161.56666666666666
2022-06-30 16:16:37.939,21.162697,-0.165265,22.998669,-2.094591,0.070261,0.072095,0.125601,1.490462,1.0,9695.0,161.58333333333334
2022-06-30 16:16:38.939,21.15259,-0.163427,22.994074,-2.094854,0.070922,0.073796,0.125408,1.518751,1.0,9696.0,161.6
2022-06-30 16:16:39.939,21.154559,-0.150695,22.993155,-2.089866,0.070644,0.072809,0.125151,1.580043,1.0,9697.0,161.61666666666667
2022-06-30 16:16:40.939,21.151671,-0.147677,22.993418,-2.091704,0.070607,0.073313,0.125408,1.466888,1.0,9698.0,161.63333333333333
2022-06-30 16:16:41.939,21.147602,-0.13757,22.991449,-2.094854,0.070618,0.073004,0.125298,1.561184,1.0,9699.0,161.65
2022-06-30 16:16:42.939,21.165323,-0.119457,22.994993,-2.091704,0.071353,0.073812,0.125482,1.320729,1.0,9700.0,161.66666666666666
2022-06-30 16:16:43.939,21.163879,-0.115782,22.998669,-2.093148,0.070859,0.073665,0.12562,1.254721,1.0,9701.0,161.68333333333334
2022-06-30 16:16:44.939,21.154297,-0.107775,22.989479,-2.091573,0.071379,0.073408,0.125188,1.396165,1.0,9702.0,161.7
2022-06-30 16:16:45.939,21.159941,-0.096356,22.994468,-2.087635,0.071006,0.07271,0.125886,1.41031,1.0,9703.0,161.71666666666667
2022-06-30 16:16:46.939,21.147865,-0.088481,22.993024,-2.085798,0.070513,0.072342,0.125859,1.424454,1.0,9704.0,161.73333333333332
2022-06-30 16:16:47.939,21.151015,-0.080868,22.994993,-2.091573,0.069521,0.07156,0.125087,1.264151,1.0,9705.0,161.75
2022-06-30 16:16:48.939,21.151671,-0.071812,22.991711,-2.093935,0.069494,0.072032,0.125032,1.41974,1.0,9706.0,161.76666666666668
2022-06-30 16:16:49.939,21.151409,-0.06643,22.99263,-2.094854,0.070665,0.072248,0.12505,1.565899,1.0,9707.0,161.78333333333333
2022-06-30 16:16:50.939,21.159285,-0.055667,22.995518,-2.08606,0.070812,0.072841,0.125721,1.679054,1.0,9708.0,161.8
