Time,Pressure before pump (Arith. Mean),Pressure after pump (Arith. Mean),Differential pressure (Arith. Mean),Flow rate (Arith. Mean),Tank temperature (Arith. Mean),Temperature TS inlet (Arith. Mean),Temperature TS outlet (Arith. Mean),Bypass temperature (Arith. Mean),reading_interval_s
2021-08-21 11:39:55.333,0.187307,0.002543,0.026112,399.028954,21.688256,-0.969328,-0.105198,0.344826,1.0
2021-08-21 11:39:56.832,0.186908,0.002504,0.025819,399.824385,21.692935,-0.985229,-0.103778,0.3458,1.499
2021-08-21 11:39:57.834,0.187186,0.00265,0.025962,398.992299,21.696,-0.990262,-0.105517,0.348596,1.002
2021-08-21 11:39:59.333,0.185465,0.002557,0.02634,398.371256,21.691885,-0.993548,-0.101064,0.345011,1.499
2021-08-21 11:40:00.832,0.185661,0.002532,0.026512,400.063428,21.694949,-0.994511,-0.094672,0.344136,1.499
2021-08-21 11:40:02.831,0.185387,0.002551,0.026481,399.494527,21.695573,-0.978954,-0.10722,0.34687,1.999
2021-08-21 11:40:04.831,0.185352,0.002585,0.025965,400.214728,21.693572,-0.981863,-0.083737,0.345877,2.0
2021-08-21 11:40:06.832,0.184804,0.002557,0.026006,398.582697,21.694458,-0.994215,-0.078973,0.353216,2.001
2021-08-21 11:40:08.831,0.185017,0.002524,0.025612,398.881295,21.695442,-0.979611,-0.097108,0.352517,1.999
2021-08-21 11:40:10.831,0.185262,0.002483,0.026457,398.962947,21.697312,-0.989739,-0.084065,0.352768,2.0
2021-08-21 11:40:12.831,0.185853,0.002543,0.026544,399.575872,21.695737,-0.987901,-0.044621,0.352637,2.0
2021-08-21 11:40:14.831,0.18537,0.002564,0.026374,400.488187,21.69495,-0.996367,-0.073433,0.354869,2.0
2021-08-21 11:40:16.831,0.185071,0.002485,0.02597,399.102034,21.692653,-0.998664,-0.077633,0.356116,2.0
2021-08-21 11:40:18.831,0.185352,0.002396,0.02631,399.542868,21.694425,-0.996695,-0.066542,0.360579,2.0
2021-08-21 11:40:20.831,0.185412,0.002367,0.02625,399.153897,21.69134,-0.996039,-0.067198,0.358282,2.0
2021-08-21 11:40:22.831,0.185396,0.002388,0.026172,399.172756,21.695278,-1.009886,-0.063589,0.362483,2.0
2021-08-21 11:40:24.831,0.185703,0.002386,0.026576,398.875723,21.690684,-1.014874,-0.059913,0.359004,2.0
2021-08-21 11:40:26.831,0.185475,0.002393,0.026223,400.426895,21.695344,-1.027015,-0.056697,0.362876,2.0
2021-08-21 11:40:28.831,0.185296,0.002493,0.026613,399.943627,21.697247,-1.009295,-0.062538,0.365896,2.0
2021-08-21 11:40:30.829,0.185581,0.002611,0.026615,399.637278,21.694292,-1.015129,-0.049657,0.36902,1.998
2021-08-21 11:40:32.831,0.185031,0.002449,0.026395,399.846651,21.699737,-1.021044,-0.054676,0.368942,2.002
2021-08-21 11:40:34.831,0.185202,0.002585,0.026448,398.474964,21.694556,-0.999976,-0.047706,0.368193,2.0
2021-08-21 11:40:36.829,0.184772,0.002508,0.026376,399.243197,21.694752,-1.00948,-0.045321,0.370465,1.998
2021-08-21 11:40:38.831,0.185469,0.002573,0.026142,397.835439,21.688854,-1.01298,-0.039858,0.367106,2.002
2021-08-21 11:40:40.829,0.185218,0.002379,0.026266,397.876894,21.697248,-1.017626,-0.043678,0.37421,1.998
2021-08-21 11:40:42.829,0.185745,0.002519,0.026512,399.62302,21.690422,-1.003848,-0.055057,0.371147,2.0
2021-08-21 11:40:44.829,0.185021,0.002393,0.026053,398.456105,21.6918,-1.028393,-0.030445,0.372328,2.0
2021-08-21 11:40:46.829,0.185105,0.002475,0.026392,398.062418,21.687075,-0.990526,-0.008984,0.369571,2.0
2021-08-21 11:40:48.829,0.185333,0.002362,0.026539,399.208117,21.691078,-1.015464,-0.035302,0.370096,2.0
2021-08-21 11:40:50.829,0.185672,0.002538,0.02636,399.587659,21.688059,-1.018746,-0.033005,0.374363,2.0
2021-08-21 11:40:52.829,0.185207,0.002464,0.026645,398.885153,21.687797,-1.024455,-0.024801,0.376135,2.0
2021-08-21 11:40:54.829,0.185535,0.002561,0.026581,399.217547,21.692719,-1.02603,-0.029198,0.37515,2.0
2021-08-21 11:40:56.829,0.185139,0.002559,0.026539,398.609336,21.687731,-1.035021,-0.026048,0.375741,2.0
2021-08-21 11:40:58.828,0.185611,0.00244,0.026513,399.520471,21.689467,-1.025376,-0.027964,0.378522,1.999
2021-08-21 11:41:00.828,0.185501,0.002519,0.026397,400.00492,21.69075,-1.025637,-0.027032,0.377251,2.0
2021-08-21 11:41:02.828,0.185924,0.002619,0.02631,399.912981,21.691209,-1.027343,-0.024407,0.379679,2.0
