Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
19:01:19,342;385,379584;0,108352;0,119911;0,171087;-0,041668;-2,519576;-0,050811;24,12972
19:01:19,352;384,436622;0,109402;0,120961;0,167413;-0,343569;-2,873948;-0,326445;24,090338
19:01:19,362;387,265507;0,108352;0,125686;0,162819;-0,094172;-2,480201;-0,103313;24,090338
19:01:19,372;386,322546;0,105727;0,118336;0,16925;-0,291065;-2,716449;-0,326445;24,07721
19:01:19,382;383,965142;0,113078;0,127787;0,164656;-0,041668;-2,532701;0,001691;24,037828
19:01:19,392;383,493661;0,109402;0,119386;0,166494;-0,343569;-2,887073;-0,260818;24,116592
19:01:19,402;385,379584;0,108877;0,126211;0,166494;-0,094172;-2,572075;-0,050811;24,050956
19:01:19,412;388,208469;0,109927;0,122011;0,164656;-0,304191;-2,6377;-0,31332;24,12972
19:01:19,422;385,851065;0,104152;0,122011;0,171087;-0,06792;-2,61145;-0,103313;24,024701
19:01:19,432;383,965142;0,108352;0,116761;0,165575;-0,343569;-2,755824;-0,260818;24,050956
19:01:19,442;387,265507;0,105202;0,120436;0,172925;-0,133551;-2,467076;-0,037685;24,037828
19:01:19,452;386,794027;0,110452;0,124111;0,166494;-0,317317;-2,782074;-0,234567;24,07721
19:01:19,462;383,493661;0,107827;0,120436;0,167413;-0,081046;-2,6377;-0,090187;24,090338
19:01:19,472;388,67995;0,112028;0,121486;0,164656;-0,304191;-2,795199;-0,33957;24,037828
19:01:19,482;385,851065;0,110977;0,128837;0,167413;-0,081046;-2,467076;-0,077062;24,090338
19:01:19,492;384,908103;0,107302;0,119911;0,167413;-0,304191;-2,808324;-0,31332;24,07721
19:01:19,502;384,908103;0,101002;0,129887;0,168331;-0,120425;-2,506451;-0,116438;24,037828
19:01:19,512;383,965142;0,115178;0,117286;0,16925;-0,343569;-2,768949;-0,326445;24,064083
19:01:19,522;386,794027;0,105727;0,121486;0,168331;-0,015416;-2,467076;-0,103313;24,064083
19:01:19,532;389,151431;0,112553;0,126736;0,166494;-0,343569;-2,860823;-0,326445;24,090338
19:01:19,542;385,379584;0,105727;0,119911;0,168331;-0,06792;-2,703324;-0,116438;24,12972
19:01:19,552;383,493661;0,107827;0,121486;0,167413;-0,330443;-2,821448;-0,33957;24,103465
19:01:19,562;385,851065;0,112028;0,124636;0,16925;-0,081046;-2,467076;-0,103313;24,090338
19:01:19,572;384,436622;0,107302;0,118336;0,165575;-0,317317;-2,834573;-0,300194;24,116592
19:01:19,582;385,851065;0,107827;0,121486;0,170169;-0,081046;-2,414576;-0,103313;24,07721
19:01:19,592;388,208469;0,108352;0,123061;0,162819;-0,343569;-2,755824;-0,352696;24,064083
19:01:19,602;389,151431;0,112553;0,124111;0,170169;-0,094172;-2,55895;-0,063936;24,050956
19:01:19,612;386,794027;0,105727;0,119386;0,167413;-0,330443;-2,834573;-0,33957;24,07721
19:01:19,622;389,622912;0,110452;0,122011;0,166494;-0,06792;-2,453951;-0,011435;24,103465
19:01:19,632;384,436622;0,104677;0,125161;0,163738;-0,356695;-2,847698;-0,31332;24,07721
19:01:19,642;388,67995;0,111503;0,120961;0,168331;-0,107299;-2,427701;-0,037685;24,103465
19:01:19,652;388,67995;0,116228;0,124636;0,168331;-0,291065;-2,821448;-0,273943;24,07721
19:01:19,662;387,265507;0,107827;0,125686;0,162819;-0,041668;-2,506451;-0,02456;24,037828
19:01:19,672;386,322546;0,110977;0,125686;0,170169;-0,330443;-2,703324;-0,260818;24,050956
19:01:19,682;387,736988;0,113078;0,126211;0,171087;-0,028542;-2,480201;-0,129563;24,064083
19:01:19,692;383,965142;0,105202;0,119911;0,16925;-0,304191;-2,782074;-0,352696;24,12972
19:01:19,702;388,208469;0,109402;0,119386;0,163738;-0,06792;-2,532701;-0,142689;24,103465
