Time,Flow rate (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Temperature TS outlet (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Differential pressure (Mean),Pump to inlet DP,Total system DP,Relative_DP,Pressure_Ratio,Relative_Ratio_Dev,Plug_Label,rel_tot_dp_change,rel_ts_dp_change,rel_p_ts_dp_change,anomaly_score,smooth_score,is_alert
2022-10-13 15:20:58,0.967118,0.064375,0.076395,0.12595,22.697669,-1.353297,-1.060025,23.123903,0.01202,0.049555,0.061575,1.0259165771124386,0.2425538784405521,0.1250677017557098,0.0,1.0259336704516107,1.1306024549687355,0.9995360845536337,0.1420648944674397,,0
2022-10-13 15:20:59,0.882251,0.063845,0.074988,0.124076,22.702525,-1.354347,-1.058844,23.122459,0.011143,0.049088,0.060231,1.0035238547472072,0.2269958646539957,0.0529030390949365,0.0,1.0035405749893782,1.048111743404045,0.9901165839686968,0.21737296622516766,,0
2022-10-13 15:21:00,0.943544,0.063918,0.074705,0.124333,22.705544,-1.361959,-1.050444,23.128629,0.0107869999999999,0.049628,0.0604149999999999,1.0065895250710184,0.2173527574603556,0.0081742204180927,0.0,1.006606296391944,1.0146263462352445,1.0010085118399301,0.23598911252437377,0.1984756577389937,0
2022-10-13 15:21:01,0.971833,0.063635,0.074358,0.123635,22.702525,-1.372853,-1.054119,23.130598,0.0107229999999999,0.049277,0.06,0.999675105590683,0.2176021754129631,0.009331126605373,0.0,0.999691761706807,1.0086064995532145,0.9939287587236285,0.24306899408717675,0.23214369094557274,0
2022-10-13 15:21:02,0.967118,0.064044,0.074169,0.124425,22.706726,-1.374822,-1.046506,23.124954,0.0101249999999999,0.0502559999999999,0.0603809999999999,1.0060230425111836,0.2014644726107805,0.0655223794280014,0.0,1.0060398043936436,0.9523585571179978,1.0136754205494363,0.21156951157121068,0.2302092060609204,0
2022-10-13 15:21:03,1.023696,0.063514,0.074605,0.124453,22.711451,-1.378628,-1.044143,23.128498,0.011091,0.0498479999999999,0.0609389999999999,1.015320020993177,0.2224919256153585,0.0320118607075772,0.0,1.015336937777517,1.0432206179748957,1.0054459639356157,0.19818859550830892,0.21760903372223214,0
2022-10-13 15:21:04,1.000122,0.064501,0.074364,0.123957,22.708301,-1.390047,-1.042831,23.13073,0.0098629999999999,0.049593,0.0594559999999999,0.9906113846333272,0.1988748638948259,0.0775340823339174,0.0,0.990627889733997,0.927714809763438,1.0003025535519796,0.24500412573908226,0.2182540776062006,0
2022-10-13 15:21:05,0.981262,0.063756,0.07377,0.123323,22.7041,-1.387947,-1.037187,23.132305,0.010014,0.049553,0.059567,0.9924607835786704,0.2020825765831216,0.0626553512028545,0.0,0.9924773194931563,0.9419178855288617,0.9994957440800365,0.2429604236384747,0.22871771496195528,0
2022-10-13 15:21:06,0.896396,0.063682,0.074406,0.123461,22.703838,-1.391884,-1.038106,23.137293,0.0107239999999999,0.049055,0.059779,0.9959929689517572,0.218607305936073,0.0139933480254974,0.0,0.9960095637178537,1.0087005596576213,0.9894509661543437,0.232455866201418,0.240140138526325,0
2022-10-13 15:21:07,0.778526,0.063892,0.073891,0.123819,22.701738,-1.401072,-1.025243,23.135324,0.0099989999999999,0.049928,0.0599269999999999,0.9984588342122144,0.2002643754130864,0.0710889389271687,0.0,0.9984754700633953,0.9405069839627516,1.0070595828795041,0.23539246878129338,0.2369362528737287,0
