elapsed_runtime_s,Temperature TS inlet (Mean),Temperature TS outlet (Mean),Tank temperature (Mean),Bypass temperature (Mean),Pump outlet pressure (Mean),TS inlet pressure (Mean),TS outlet pressure (Mean),Differential pressure (Mean),Pump to inlet DP,Total system DP,Flow rate (Mean),Pressure_Ratio,Relative_Ratio_Dev,run_specific_time_s,label,rel_tot_dp_change,rel_ts_dp_change,rel_p_ts_dp_change,anomaly_score,smooth_score
1527.0,-0.83663,21.812179,-1.115342,22.027508,0.185218,0.106848,0.080111,0.0267369999999999,0.07837,0.1051069999999999,0.882251,0.3411593574153704,0.2993501038656249,0.0,0,1.0486162380030728,0.8162349457359577,1.1640808930017015,-8.397707718077463e-05,-8.397707718077463e-05
1528.0,-0.828361,21.813098,-1.111274,22.023045,0.184418,0.106801,0.07968,0.0271209999999999,0.077617,0.104738,0.698374,0.3494163724909169,0.2823924076180677,1.0,0,1.044934852445279,0.827957809900322,1.1528960912608532,0.016751997175971756,0.016751997175971756
1529.0,-0.824424,21.813885,-1.10983,22.028296,0.183646,0.107273,0.080699,0.0265739999999999,0.076373,0.102947,1.056699,0.3479456359494066,0.2854129063458679,2.0,0,1.0270666640062263,0.8112588341245218,1.1344181452241795,0.040025952975290435,0.040025952975290435
1530.0,-0.83348,21.816248,-1.107205,22.027508,0.182985,0.107557,0.08042,0.0271369999999999,0.075428,0.102565,0.580504,0.3597687891924855,0.2611313179570782,3.0,0,1.0232555819382654,0.8284462625738372,1.1203814418442304,0.05254648460146549,0.05254648460146549
1531.0,-0.840962,21.813492,-1.111536,22.028821,0.182562,0.107273,0.08051,0.0267629999999999,0.075289,0.102052,0.66537,0.3554655332713506,0.2699690524311522,4.0,0,1.0181375581140142,0.81702868133042,1.1183167838867565,0.05617540010713051,0.05617540010713051
1532.0,-0.822061,21.812967,-1.108517,22.028165,0.182737,0.10585,0.08009,0.02576,0.076887,0.102647,0.651226,0.3350327749453751,0.3119324624554102,5.0,0,1.0240736676177753,0.7864088043594402,1.1420529235705221,0.028848774492157503,0.052753255896938286
1533.0,-0.829674,21.809816,-1.112192,22.026064,0.181717,0.108166,0.079864,0.0283019999999999,0.0735509999999999,0.1018529999999999,0.778526,0.3847889928214052,0.2097465246256739,6.0,0,1.0161522038430073,0.8640117228641613,1.092501132591145,0.09137457085245715,0.05963019790629208
1534.0,-0.812348,21.818479,-1.112324,22.028427,0.181616,0.107499,0.079055,0.0284439999999999,0.074117,0.102561,0.952974,0.38376642650908,0.2118466018035331,7.0,0,1.0232156753197528,0.8683467403416085,1.1009083009647456,0.06987571934402192,0.06636629005496585
1535.0,-0.805917,21.818086,-1.110749,22.026327,0.181212,0.107704,0.079223,0.0284809999999999,0.073508,0.101989,0.618222,0.3874491558856736,0.2042832625630393,8.0,0,1.0175090288724393,0.8694762871491123,1.091862425453223,0.09111140118049454,0.07264311880921874
1536.0,-0.805523,21.816248,-1.110749,22.023964,0.181304,0.109232,0.078562,0.0306699999999999,0.072072,0.1027419999999999,0.646511,0.4255407711625711,0.1260532925878807,9.0,0,1.0250214498074506,0.9363027185444079,1.0705325777774484,0.08090623531757435,0.07708142515450475
1537.0,-0.809198,21.812048,-1.113636,22.024358,0.181598,0.109762,0.077748,0.032014,0.071836,0.10385,0.849248,0.4456477859598813,0.0847588724786434,10.0,0,1.036075583135464,0.9773327431196862,1.0670271153460538,0.06868544301635715,0.08375285372599137
1538.0,-0.805917,21.81231,-1.11508,22.02567,0.181203,0.109988,0.078551,0.031437,0.071215,0.102652,1.113277,0.4414317007414065,0.0934175816894874,11.0,0,1.0241235508909161,0.9597179185810449,1.0578029959820872,0.08411291866270942,0.0914286556272919
1539.0,-0.805261,21.806928,-1.11193,22.02147,0.180743,0.108475,0.078929,0.029546,0.0722679999999999,0.1018139999999999,0.839818,0.4088336631197333,0.1603652153315619,12.0,0,1.0157631143125088,0.9019889182299696,1.073443894034029,0.10279424051781938,0.0954733920884991
1540.0,-0.79371,21.807847,-1.117442,22.015956,0.181111,0.109321,0.079139,0.030182,0.0717899999999999,0.101972,0.571074,0.4204148152275355,0.1365806324230867,13.0,0,1.0173394257437605,0.921404912002198,1.0663438472450177,0.09692954805432552,0.10080770397786157
1541.0,-0.785441,21.810341,-1.123086,22.017663,0.179751,0.108791,0.079517,0.0292739999999999,0.07096,0.1002339999999999,0.363622,0.4125364636913233,0.1527606552352309,14.0,0,1.0,0.8936852227802085,1.0540153141176565,0.12288968582199666,0.1075829808031445
1542.0,-0.78006,21.809422,-1.117836,22.019107,0.1801,0.108906,0.078808,0.030098,0.071194,0.101292,0.613507,0.4227544069105976,0.1317757380706258,15.0,0,1.0105553005966048,0.9188405354662433,1.0574910692403106,0.10560679350516289,0.11384464166727196
1543.0,-0.777435,21.814017,-1.120067,22.014906,0.180413,0.110555,0.078367,0.0321879999999999,0.0698579999999999,0.1020459999999999,1.15571,0.4607566670006727,0.053729279703768,16.0,0,1.018077698186244,0.9826446659441606,1.0376465870015663,0.13182193546452914,0.1236295021964267
1544.0,-0.774285,21.816117,-1.120855,22.017006,0.180027,0.110612,0.077107,0.033505,0.0694149999999999,0.10292,1.014266,0.4826697015097385,0.0087257790843411,17.0,0,1.0267972943312658,1.022850426632882,1.031066418115516,0.12321883823764646,0.13420007432463035
1545.0,-0.764309,21.815329,-1.117967,22.013987,0.179889,0.110612,0.078084,0.032528,0.0692769999999999,0.1018049999999999,0.929399,0.4695285660671498,0.0357141497176207,18.0,0,1.0156733244208551,0.9930242852563613,1.0290166138124124,0.15886416943332393,0.14606130159580047
1546.0,-0.75919,21.82163,-1.12348,22.015562,0.180073,0.11056,0.077953,0.032607,0.069513,0.10212,0.976548,0.4690709785079265,0.0366539119398007,19.0,0,1.0188159706287296,0.9954360203318424,1.0325220762438088,0.14352284395884884,0.15849290706198144
1547.0,-0.777828,21.819136,-1.11613,22.019501,0.179641,0.110555,0.078304,0.032251,0.069086,0.101337,0.703089,0.4668172014995586,0.0412825659470846,20.0,0,1.0110042500548726,0.9845679483461298,1.0261795658276833,0.16653404830790486,0.16888438741115497
1548.0,-0.765228,21.821892,-1.127155,22.011755,0.179503,0.11099,0.077674,0.033316,0.0685129999999999,0.1018289999999999,1.018981,0.4862655807572175,0.0013408067349225,21.0,0,1.0159127641319312,1.017080579426984,1.0176684218734906,0.18981863994474563,0.17633263476325636
1549.0,-0.750003,21.824911,-1.122299,22.013462,0.178704,0.112382,0.078147,0.034235,0.066322,0.100557,0.754952,0.5161859385130346,0.0601075900282146,22.0,0,1.0032224594448997,1.0451360798620122,0.9851240651481289,0.2214065132295207,0.18689083256549546
1550.0,-0.741602,21.824911,-1.121117,22.014644,0.179264,0.11141,0.077769,0.0336409999999999,0.067854,0.101495,0.896396,0.4957777614029914,0.0181946632341993,23.0,0,1.0125805614861234,1.027002274357758,1.0078798636434536,0.22124560271613525,0.1999811643147931
1551.0,-0.738321,21.834625,-1.125842,22.014644,0.179347,0.111857,0.078163,0.033694,0.06749,0.101184,0.91997,0.4992369352950763,0.0252988794179844,24.0,0,1.0094778218967624,1.0286202738387802,1.0024731334526582,0.2268044893137321,0.20325427035899873
1552.0,-0.731102,21.833968,-1.126892,22.01018,0.17931,0.110649,0.077281,0.0333679999999999,0.068661,0.102029,0.858677,0.4859747749847076,0.0019380438614314,25.0,0,1.0179080950575663,1.0186680506159052,1.019866762720299,0.1800892670261766,0.21421550798072872
1553.0,-0.734252,21.835412,-1.12663,22.016744,0.179347,0.111804,0.078278,0.033526,0.067543,0.101069,0.858677,0.4963579296458604,0.0193861733313758,26.0,0,1.008330506614523,1.0234915207668707,1.0032603771342852,0.2374039134869202,0.2214700588577258
1554.0,-0.722177,21.833837,-1.12453,22.013725,0.178593,0.11181,0.078472,0.033338,0.066783,0.100121,0.830388,0.4991914230953523,0.0252054095561256,27.0,0,0.9988726380270178,1.0177522018530674,0.9919715998128446,0.25412215573062286,0.22884333414175861
1555.0,-0.724933,21.840138,-1.12558,22.012806,0.178979,0.11036,0.077312,0.0330479999999999,0.068619,0.101667,1.070844,0.4816088603905566,0.0109044624585887,28.0,0,1.0142965460821687,1.0088989971456015,1.0192429092367457,0.19159522987538052,0.23234149134011745
