Time,Flow rate (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Temperature TS outlet (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Differential pressure (Mean),Pump to inlet DP,Total system DP,Relative_DP,Pressure_Ratio,Relative_Ratio_Dev,Plug_Label,rel_tot_dp_change,rel_ts_dp_change,rel_p_ts_dp_change,anomaly_score,smooth_score
2022-06-30 15:08:37,1.27358,0.07412,0.077267,0.130673,21.03078,-2.124647,-1.515871,23.02663,0.0031469999999999,0.053406,0.056553,1.0224548462331182,0.0589248600370737,0.3265999565981856,0.0,1.019790642947949,1.2582966813274288,1.0078125000000009,0.15224468151511894,
2022-06-30 15:08:38,1.598902,0.074745,0.077083,0.130121,21.029861,-2.125041,-1.505108,23.02978,0.0023379999999999,0.0530379999999999,0.0553759999999999,1.0011751731120389,0.0440807707535962,0.0075912181761124,0.0,0.9985664181190305,0.9348260695721311,1.0008680555555545,0.2462550826534522,
2022-06-30 15:08:39,1.301869,0.074262,0.07639,0.130691,21.042724,-2.121235,-1.496577,23.027943,0.002128,0.054301,0.056429,1.0202129775270743,0.039188243526942,0.1177387247200639,0.0,1.0175546158631694,0.850859656137545,1.0247018417874405,0.122904920116653,
2022-06-30 15:08:40,1.278295,0.073401,0.075739,0.130167,21.031567,-2.119922,-1.491327,23.026499,0.002338,0.054428,0.056766,1.0263057981233392,0.042955042348748,0.0329352113917678,0.0,1.023631560440353,0.934826069572171,1.0270984299516916,0.10137641537751518,0.15569527491568483
2022-06-30 15:08:41,1.146281,0.073705,0.076138,0.130241,21.038393,-2.12491,-1.471376,23.030699,0.0024329999999999,0.054103,0.0565359999999999,1.0221474932653538,0.0449689486914089,0.0124047022726156,0.0,1.0194840908476146,0.9728108756497,1.0209654287439622,0.15238469707567986,0.15573027880582507
2022-06-30 15:08:42,1.349017,0.073238,0.076406,0.13002,21.025135,-2.125041,-1.468882,23.028599,0.003168,0.0536139999999999,0.056782,1.026595071504764,0.0590879418073301,0.33027148452728,0.0,1.0239200800641954,1.2666933226709314,1.0117376207729458,0.1347438250615436,0.12785246440784792
2022-06-30 15:08:43,1.339588,0.073448,0.076185,0.129386,21.029861,-2.126616,-1.452344,23.022298,0.002737,0.053201,0.055938,1.0113359006345934,0.0514454343821661,0.1582125265230527,0.0,1.0087006699065015,1.0943622550979606,1.0039439915458945,0.2010610011848028,0.14739148467488536
2022-06-30 15:08:44,1.334873,0.074566,0.077041,0.129386,21.038393,-2.126879,-1.441713,23.032012,0.002475,0.052345,0.05482,0.9911229231075196,0.0472815496886104,0.0644692533056812,0.0,0.988540361190504,0.9896041583366654,0.9877906099033825,0.23253674786403994,0.18018156779651656
2022-06-30 15:08:45,2.042094,0.074125,0.076805,0.129827,21.033274,-2.12386,-1.435937,23.027943,0.00268,0.053022,0.055702,1.0070691182585745,0.0505441035022537,0.1379204884016205,0.0,1.0044450054548242,1.0715713714514195,1.0005661231884067,0.2226790612243476,0.19775515883368347
2022-06-30 15:08:46,1.523465,0.074949,0.076306,0.130222,21.020016,-2.129372,-1.420187,23.029912,0.0013569999999999,0.053916,0.055273,0.9993129757191156,0.0251683142608082,0.4333752411964865,0.0,0.996709073040546,0.5425829668132347,1.0174365942028993,0.05765350077260778,0.17848257776144955
