Time,Flow rate (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Temperature TS outlet (Mean),Tank temperature (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Differential pressure (Mean),Pump to inlet DP,Total system DP,Relative_DP,Pressure_Ratio,Relative_Ratio_Dev,Plug_Label,rel_tot_dp_change,rel_ts_dp_change,rel_p_ts_dp_change,anomaly_score,smooth_score
2021-12-07 11:08:37,1500.361028,0.595998,1.256703,0.406148,-1.121818,-1.294235,-1.152297,24.837283,0.660705,-0.850555,-0.18985,0.9972527616836424,-0.7767937132739366,0.0004801774690312,0.0,0.9966402435823403,0.9990972354536958,0.998688462224894,0.2493208870283607,
2021-12-07 11:08:38,1499.116319,0.596465,1.257574,0.405738,-1.105804,-1.258929,-1.134053,24.844503,0.661109,-0.851836,-0.190727,1.0018595073881278,-0.7760998315401456,0.0004135152943151,0.0,1.0012441597984147,0.9997081514950807,1.0001925623949126,0.25065567079598544,
2021-12-07 11:08:39,1498.861719,0.595662,1.256027,0.405381,-1.097797,-1.250398,-1.124865,24.835577,0.660365,-0.850646,-0.190281,0.9995167381929164,-0.7763109170100335,0.0001416453953112,0.0,0.9989028295448581,0.998583098191144,0.9987953108708517,0.25211526435675946,
2021-12-07 11:08:40,1497.664158,0.594827,1.255624,0.404783,-1.118405,-1.293447,-1.142715,24.834133,0.660797,-0.8508410000000001,-0.190044,0.998271813755102,-0.7766407315123878,0.0002831428930187,0.0,0.9976586697464433,0.9992363549482686,0.9990242722550466,0.2494433488733923,0.2503837927636245
2021-12-07 11:08:41,1497.753739,0.596649,1.258236,0.405759,-1.122868,-1.310772,-1.141009,24.831901,0.661587,-0.8524770000000002,-0.19089,1.0027157212419828,-0.7760769804663123,0.0004429465912133,0.0,1.0020998477610374,1.0004309679994918,1.0009451995603944,0.24999324623252395,0.25055188256466526
2021-12-07 11:08:42,1498.295942,0.596748,1.258803,0.406363,-1.105673,-1.24961,-1.122502,24.831901,0.662055,-0.8524399999999999,-0.1903849999999999,1.00006303414875,-0.7766596788743829,0.0003075463604613,0.0,0.9994487899627271,1.00113866281971,1.0009017556054443,0.2517694067350946,0.2508303165494426
2021-12-07 11:08:43,1499.476493,0.59609,1.257651,0.40547,-1.101489,-1.218275,-1.127675,24.826627,0.661561,-0.8521810000000001,-0.19062,1.001297452895106,-0.7763160365181065,0.0001350516674554,0.0,1.0006824505223373,1.0003916516205908,1.0005976479207959,0.25011740706820534,0.25033085222730406
2021-12-07 11:08:44,1499.604426,0.595837,1.256543,0.405064,-1.109832,-1.267803,-1.14013,24.832824,0.660706,-0.851479,-0.1907729999999999,1.0021011382916694,-0.7759519329918096,0.0006040028888437,0.0,1.0014856422909333,0.9990987476221151,0.9997733869376944,0.25091860983481323,0.2506996674676593
2021-12-07 11:08:45,1499.106889,0.596113,1.257259,0.405686,-1.116699,-1.317466,-1.145997,24.835708,0.661146,-0.8515729999999999,-0.190427,1.0002836536693755,-0.7763829717275814,4.884171349983646e-05,0.0,0.9996692739776367,0.9997641017265938,0.9998837580664856,0.25128316826343217,0.25102214797538636
2021-12-07 11:08:46,1499.101568,0.595378,1.255042,0.405378,-1.107337,-1.31277,-1.13582,24.827366,0.659664,-0.849664,-0.1899999999999999,0.998040688543018,-0.7763831071848487,4.8667249792799794e-05,0.0,0.9974276864927287,0.997523068129236,0.9976422848232653,0.2533867928266047,0.2514264944982638
2021-12-07 11:08:47,1498.396344,0.596214,1.257992,0.405618,-1.096091,-1.226714,-1.12037,24.830861,0.661778,-0.852374,-0.190596,1.001171384597606,-0.7763948412256138,3.3554260351120746e-05,0.0,1.000556459656675,1.0007197921675723,1.0008242609831015,0.24928025525853176,0.25121720654584545
2021-12-07 11:08:48,1498.208584,0.596292,1.258288,0.406517,-1.101161,-1.241569,-1.124238,24.832209,0.661996,-0.8517710000000001,-0.189775,0.9968587982539544,-0.7772004179532034,0.001003997323308,0.0,0.9962465221271458,1.0010494448829732,1.0001162419335143,0.24930745548863703,0.2508144179593014
2021-12-07 11:08:49,1498.451531,0.595378,1.256717,0.404673,-1.11263,-1.301979,-1.130377,24.829801,0.661339,-0.852044,-0.1907049999999999,1.0017439447820855,-0.7761803101486664,0.0003098619676217,0.0,1.001128668171557,1.000055950231513,1.0004367878713871,0.2501389622415248,0.2505283664538246
2021-12-07 11:08:50,1497.749024,0.596313,1.257578,0.406169,-1.113155,-1.314185,-1.128146,24.83597,0.661265,-0.8514090000000001,-0.1901439999999999,0.9987970983280192,-0.7766722887264391,0.0003237873608807,0.0,0.9981836316867022,0.9999440497684869,0.9996911956715732,0.2511538105561421,0.24997012088620893
