Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
09:53:22,414;395,280682;0,095541;0,1113;0,146282;-2,007964;-2,750574;-2,190256;24,867476
09:53:22,464;396,129347;0,095856;0,10815;0,147936;-2,057843;-2,779449;-2,240133;24,875352
09:53:22,514;394,243424;0,098587;0,108885;0,149222;-2,002714;-2,753199;-2,206006;24,909483
09:53:22,564;394,432016;0,096066;0,1113;0,148119;-2,073595;-2,784699;-2,266383;24,875352
09:53:22,614;394,526312;0,096906;0,11067;0,149589;-2,01584;-2,758449;-2,190256;24,880603
09:53:22,664;393,960535;0,098167;0,11088;0,150508;-2,091971;-2,776824;-2,255883;24,891105
09:53:22,714;393,489054;0,097747;0,112665;0,149406;-2,01584;-2,724324;-2,213882;24,891105
09:53:22,764;394,714905;0,097957;0,11256;0,146282;-2,094597;-2,821448;-2,279509;24,909483
09:53:22,814;394,526312;0,095331;0,10878;0,147384;-2,031591;-2,703324;-2,224382;24,880603
09:53:22,864;394,997793;0,098377;0,109725;0,147752;-2,086721;-2,776824;-2,237507;24,8596
09:53:22,914;393,11187;0,101002;0,1092;0,147936;-2,01584;-2,737449;-2,179756;24,901607
09:53:22,964;393,017574;0,094386;0,10647;0,148119;-2,078845;-2,813573;-2,274259;24,880603
09:53:23,014;394,903497;0,099112;0,11151;0,15014;-2,052593;-2,747949;-2,232257;24,904233
09:53:23,064;394,054831;0,098797;0,109095;0,148854;-2,063094;-2,845073;-2,232257;24,914734
09:53:23,114;394,33772;0,094596;0,108045;0,148487;-2,028966;-2,753199;-2,227007;24,877978
09:53:23,164;394,526312;0,097642;0,108255;0,148119;-2,049968;-2,758449;-2,255883;24,877978
09:53:23,214;394,33772;0,094911;0,108885;0,149222;-2,023715;-2,771574;-2,211257;24,896356
09:53:23,264;393,866239;0,098377;0,11004;0,148854;-2,078845;-2,779449;-2,250633;24,909483
09:53:23,314;395,657866;0,099322;0,11025;0,149038;-2,023715;-2,768949;-2,211257;24,901607
09:53:23,364;395,374978;0,093861;0,106575;0,147752;-2,07097;-2,805699;-2,271634;24,891105
09:53:23,414;395,846459;0,096276;0,11109;0,148854;-2,052593;-2,734824;-2,224382;24,904233
09:53:23,464;395,186385;0,098272;0,110565;0,149222;-2,07097;-2,795199;-2,250633;24,901607
09:53:23,514;395,846459;0,099007;0,10773;0,148487;-2,023715;-2,789949;-2,237507;24,872727
09:53:23,564;397,826678;0,091866;0,109305;0,146833;-2,099847;-2,818823;-2,248008;24,88848
09:53:23,614;396,506532;0,094491;0,10605;0,146833;-2,036842;-2,771574;-2,240133;24,898982
09:53:23,664;396,600828;0,091761;0,104265;0,144812;-2,089346;-2,805699;-2,274259;24,896356
09:53:23,714;397,54379;0,090081;0,10626;0,147201;-2,002714;-2,774199;-2,227007;24,883229
09:53:23,764;396,78942;0,100897;0,109935;0,145731;-2,052593;-2,808324;-2,258508;24,896356
09:53:23,814;396,223643;0,096276;0,110145;0,148487;-1,994838;-2,753199;-2,221757;24,864851
09:53:23,864;395,56357;0,096066;0,108255;0,148119;-2,068344;-2,789949;-2,290009;24,904233
09:53:23,914;398,392455;0,101842;0,112035;0,149222;-2,01584;-2,729574;-2,213882;24,88848
09:53:23,964;397,54379;0,100792;0,111615;0,15014;-2,08147;-2,789949;-2,279509;24,901607
09:53:24,014;398,109567;0,096696;0,11025;0,149038;-2,055218;-2,774199;-2,253258;24,885854
09:53:24,064;396,978013;0,094806;0,109935;0,147752;-2,07097;-2,768949;-2,261133;24,883229
09:53:24,114;397,166605;0,098482;0,11235;0,148303;-2,005339;-2,763699;-2,216507;24,901607
09:53:24,164;396,883716;0,093441;0,10731;0,148487;-2,073595;-2,808324;-2,266383;24,877978
09:53:24,214;398,01527;0,095121;0,10731;0,147017;-2,026341;-2,750574;-2,169255;24,898982
09:53:24,264;397,260901;0,094701;0,10773;0,148854;-2,063094;-2,803074;-2,271634;24,896356
09:53:24,314;397,072309;0,099847;0,1113;0,149773;-2,02109;-2,758449;-2,232257;24,891105
09:53:24,364;396,035051;0,094491;0,108045;0,146098;-2,097222;-2,831948;-2,279509;24,896356
09:53:24,414;396,506532;0,092496;0,105945;0,145363;-2,023715;-2,795199;-2,206006;24,88848
09:53:24,464;396,129347;0,093861;0,10647;0,146649;-2,08147;-2,818823;-2,290009;24,891105
09:53:24,514;396,978013;0,094071;0,106995;0,146466;-2,036842;-2,755824;-2,213882;24,880603
09:53:24,564;397,54379;0,093231;0,10857;0,147017;-2,089346;-2,795199;-2,297884;24,896356
09:53:24,614;397,920974;0,097222;0,11172;0,148119;-2,01584;-2,732199;-2,213882;24,891105
09:53:24,664;397,260901;0,097537;0,108885;0,148854;-2,073595;-2,800449;-2,279509;24,885854
09:53:24,714;398,958232;0,095226;0,106785;0,145914;-2,026341;-2,755824;-2,234882;24,891105
09:53:24,764;397,638086;0,096486;0,10899;0,147752;-2,099847;-2,803074;-2,266383;24,914734
09:53:24,814;397,826678;0,097011;0,108885;0,147752;-2,039467;-2,729574;-2,216507;24,885854
09:53:24,864;398,298159;0,097011;0,110565;0,147936;-2,089346;-2,787324;-2,261133;24,885854
09:53:24,914;398,76964;0,093546;0,108675;0,146833;-2,052593;-2,734824;-2,203381;24,872727
09:53:24,964;397,449493;0,094491;0,10521;0,145363;-2,073595;-2,813573;-2,258508;24,904233
09:53:25,014;397,449493;0,095331;0,11004;0,147384;-2,042092;-2,729574;-2,213882;24,898982
09:53:25,064;396,600828;0,098692;0,112245;0,148671;-2,089346;-2,834573;-2,261133;24,891105
09:53:25,114;397,166605;0,096276;0,109305;0,15014;-2,044717;-2,771574;-2,250633;24,896356
09:53:25,164;396,317939;0,097642;0,108885;0,149038;-2,078845;-2,839823;-2,258508;24,885854
09:53:25,214;397,826678;0,093966;0,106575;0,148487;-2,018465;-2,776824;-2,224382;24,88848
09:53:25,264;397,072309;0,096381;0,111615;0,15014;-2,08147;-2,784699;-2,263758;24,893731
09:53:25,314;396,883716;0,098377;0,114135;0,147752;-2,02109;-2,737449;-2,250633;24,893731
09:53:25,364;396,129347;0,094596;0,10584;0,148119;-2,08147;-2,792574;-2,271634;24,893731
09:53:25,414;395,186385;0,093966;0,10878;0,147384;-2,010589;-2,737449;-2,221757;24,880603
09:53:25,464;396,506532;0,099427;0,11193;0,149773;-2,084096;-2,800449;-2,261133;24,896356
09:53:25,514;396,600828;0,097747;0,10941;0,149406;-2,028966;-2,745324;-2,200756;24,883229
09:53:25,564;396,78942;0,092916;0,10773;0,147936;-2,089346;-2,805699;-2,276884;24,891105
09:53:25,614;395,657866;0,095436;0,10836;0,146466;-2,02109;-2,726949;-2,192881;24,862225
09:53:25,664;396,223643;0,097432;0,111615;0,147752;-2,084096;-2,808324;-2,287384;24,891105
