Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
13:33:19,614;188,394893;0,107932;0,11046;0,145731;-0,162428;-2,503826;-1,410605;26,245846
13:33:19,664;188,2063;0,103522;0,109095;0,144996;-0,167679;-2,5747;-1,457857;26,256348
13:33:19,714;187,357635;0,104152;0,10878;0,145914;-0,23331;-2,6377;-1,515609;26,269475
13:33:19,764;189,432151;0,107092;0,11088;0,147752;-0,264812;-2,703324;-1,55236;26,245846
13:33:19,814;189,337854;0,106252;0,110145;0,145547;-0,272688;-2,700699;-1,528734;26,256348
13:33:19,864;189,149262;0,108877;0,110565;0,144444;-0,29894;-2,67445;-1,544485;26,258973
13:33:19,914;188,489189;0,107197;0,111405;0,144812;-0,230684;-2,65345;-1,502483;26,253723
13:33:19,964;187,829116;0,109192;0,109515;0,146466;-0,170304;-2,6167;-1,473607;26,222217
13:33:20,014;187,73482;0,107617;0,11214;0,148303;-0,12305;-2,582575;-1,423731;26,258973
13:33:20,064;187,640523;0,108142;0,1134;0,146098;-0,091547;-2,516951;-1,400105;26,248472
13:33:20,114;186,697562;0,106462;0,11046;0,145547;-0,057419;-2,448701;-1,347603;26,258973
13:33:20,164;185,471712;0,103522;0,1092;0,146466;-0,046918;-2,451326;-1,295102;26,232719
13:33:20,214;186,131785;0,106567;0,10836;0,145731;-0,00754;-2,388327;-1,2426;26,248472
13:33:20,264;184,434454;0,106357;0,109095;0,145914;-0,036417;-2,435576;-1,308227;26,248472
13:33:20,314;184,151565;0,108667;0,11214;0,146098;-0,06792;-2,453951;-1,321352;26,264224
13:33:20,364;184,52875;0,106672;0,109095;0,146282;-0,099423;-2,551075;-1,38698;26,251097
13:33:20,414;183,3029;0,105097;0,108255;0,145363;-0,130926;-2,527451;-1,415856;26,261599
13:33:20,464;182,925715;0,106357;0,10752;0,146649;-0,207057;-2,640325;-1,512984;26,248472
13:33:20,514;184,340158;0,108562;0,112875;0,146282;-0,23856;-2,587825;-1,489358;26,256348
13:33:20,564;184,245861;0,108772;0,11088;0,145547;-0,283189;-2,716449;-1,533984;26,253723
13:33:20,614;183,774381;0,105832;0,10647;0,146098;-0,228059;-2,624575;-1,484108;26,23797
13:33:20,664;182,831419;0,106672;0,111405;0,146649;-0,283189;-2,679699;-1,528734;26,243221
13:33:20,714;182,454234;0,107092;0,110985;0,147568;-0,241185;-2,677075;-1,478858;26,253723
13:33:20,764;181,32268;0,105937;0,109515;0,146282;-0,199182;-2,619325;-1,478858;26,245846
13:33:20,814;182,831419;0,104257;0,107625;0,145179;-0,175555;-2,603575;-1,410605;26,264224
13:33:20,864;181,699865;0,108142;0,110145;0,146466;-0,109924;-2,566825;-1,39223;26,232719
13:33:20,914;181,888457;0,106147;0,10941;0,147017;-0,054794;-2,438201;-1,305602;26,253723
13:33:20,964;181,228384;0,106672;0,10899;0,147568;-0,018041;-2,438201;-1,292477;26,258973
13:33:21,014;179,342461;0,104467;0,11004;0,145179;-0,01279;-2,372577;-1,295102;26,232719
13:33:21,064;179,531053;0,103942;0,10941;0,147568;-0,06267;-2,438201;-1,310852;26,258973
13:33:21,114;178,210907;0,106147;0,11151;0,146098;-0,033792;-2,411951;-1,318727;26,264224
13:33:21,164;177,64513;0,105412;0,10773;0,146833;-0,104673;-2,456576;-1,381729;26,23797
13:33:21,214;177,928018;0,103522;0,10668;0,144444;-0,120425;-2,493326;-1,381729;26,251097
13:33:21,264;176,607872;0,103837;0,106155;0,144077;-0,204432;-2,587825;-1,484108;26,243221
13:33:21,314;178,493795;0,102052;0,10479;0,143893;-0,209682;-2,5852;-1,489358;26,251097
13:33:21,364;177,173649;0,106462;0,11067;0,146098;-0,275313;-2,671825;-1,575986;26,253723
13:33:21,414;177,833722;0,110452;0,110565;0,146098;-0,254311;-2,624575;-1,53661;26,261599
13:33:21,464;179,813942;0,108142;0,10836;0,146649;-0,267438;-2,684949;-1,570736;26,232719
13:33:21,514;179,813942;0,109507;0,11172;0,149038;-0,241185;-2,640325;-1,54186;26,23797
13:33:21,564;178,022315;0,111818;0,11298;0,148119;-0,249061;-2,677075;-1,515609;26,232719
13:33:21,614;179,625349;0,106252;0,110565;0,147201;-0,162428;-2,5642;-1,452607;26,264224
13:33:21,664;180,379719;0,104152;0,107835;0,146282;-0,154553;-2,587825;-1,394855;26,248472
13:33:21,714;179,248165;0,111503;0,111615;0,146098;-0,065295;-2,514326;-1,323978;26,232719
13:33:21,764;179,719646;0,106252;0,112455;0,144812;-0,06267;-2,488076;-1,344978;26,253723
13:33:21,814;181,511273;0,109402;0,11025;0,147017;0,016087;-2,390952;-1,25835;26,240595
13:33:21,864;180,002534;0,108562;0,110565;0,146282;-0,041668;-2,443451;-1,329228;26,258973
13:33:21,914;179,719646;0,106357;0,110355;0,146282;-0,002289;-2,393577;-1,266226;26,26685
13:33:21,964;179,813942;0,106567;0,11256;0,145179;-0,083672;-2,464451;-1,368604;26,251097
13:33:22,014;180,285423;0,107407;0,11172;0,149406;-0,088922;-2,485451;-1,373854;26,248472
13:33:22,064;179,625349;0,106147;0,11151;0,15014;-0,209682;-2,577325;-1,465732;26,232719
13:33:22,114;180,191126;0,111187;0,11319;0,149957;-0,149302;-2,593075;-1,449982;26,272101
13:33:22,164;180,474015;0,108982;0,11235;0,150692;-0,251686;-2,67445;-1,549735;26,251097
13:33:22,214;181,228384;0,107827;0,111405;0,15014;-0,23331;-2,6587;-1,507734;26,253723
13:33:22,264;180,945496;0,109402;0,113295;0,150324;-0,285814;-2,700699;-1,578611;26,26685
13:33:22,314;182,265642;0,107512;0,114345;0,146833;-0,191306;-2,6377;-1,515609;26,240595
13:33:22,364;181,699865;0,105832;0,11151;0,145547;-0,249061;-2,6587;-1,54186;26,251097
13:33:22,414;182,737123;0,105622;0,10899;0,143893;-0,162428;-2,5852;-1,434231;26,245846
13:33:22,464;182,171346;0,108037;0,11151;0,146649;-0,175555;-2,5852;-1,452607;26,258973
13:33:22,514;181,511273;0,107932;0,11235;0,145731;-0,070545;-2,511701;-1,347603;26,23797
13:33:22,564;183,114307;0,109192;0,108465;0,145363;-0,065295;-2,482826;-1,347603;26,243221
13:33:22,614;183,208604;0,109297;0,10983;0,143342;0,000336;-2,432951;-1,245225;26,248472
13:33:22,664;182,07705;0,105517;0,10815;0,145363;-0,018041;-2,456576;-1,255725;26,240595
13:33:22,714;182,54853;0,104257;0,108255;0,144261;0,000336;-2,438201;-1,24785;26,240595
13:33:22,764;182,265642;0,109192;0,109935;0,145731;-0,075796;-2,474951;-1,321352;26,243221
13:33:22,814;183,3029;0,105412;0,107835;0,144812;-0,083672;-2,522201;-1,329228;26,235344
13:33:22,864;182,171346;0,102577;0,104895;0,144077;-0,154553;-2,493326;-1,41323;26,251097
13:33:22,914;185,848896;0,106672;0,108045;0,144996;-0,151927;-2,5537;-1,410605;26,26685
13:33:22,964;183,962973;0,109087;0,11004;0,146098;-0,306816;-2,67445;-1,505108;26,248472
13:33:23,014;183,3029;0,104887;0,107415;0,146282;-0,222809;-2,61145;-1,465732;26,251097
13:33:23,064;182,642827;0,105727;0,11151;0,146649;-0,264812;-2,690199;-1,55236;26,258973
13:33:23,114;183,868677;0,103732;0,109725;0,145547;-0,220183;-2,661325;-1,497233;26,227468
13:33:23,164;182,642827;0,104467;0,10899;0,145547;-0,262187;-2,66395;-1,523484;26,230093
13:33:23,214;183,114307;0,109087;0,11193;0,145731;-0,170304;-2,57995;-1,465732;26,251097
13:33:23,264;183,774381;0,110032;0,11193;0,147568;-0,165054;-2,62195;-1,468357;26,251097
13:33:23,314;185,283119;0,108982;0,111405;0,147568;-0,094172;-2,467076;-1,334478;26,253723
13:33:23,364;183,585788;0,105097;0,10899;0,145914;-0,086297;-2,532701;-1,368604;26,261599
13:33:23,414;182,642827;0,110137;0,11235;0,147936;-0,036417;-2,425076;-1,281976;26,248472
13:33:23,464;182,171346;0,106042;0,109305;0,147752;-0,041668;-2,482826;-1,310852;26,248472
13:33:23,514;181,794161;0,106462;0,11046;0,147201;-0,039043;-2,419826;-1,268851;26,245846
13:33:23,564;181,511273;0,105727;0,10794;0,147201;-0,073171;-2,459201;-1,297727;26,240595
13:33:23,614;180,002534;0,107827;0,113715;0,147936;-0,078421;-2,438201;-1,323978;26,256348
13:33:23,664;181,888457;0,107617;0,111195;0,146649;-0,151927;-2,522201;-1,394855;26,248472
13:33:23,714;182,171346;0,109507;0,11088;0,146649;-0,141427;-2,501201;-1,360729;26,230093
13:33:23,764;181,794161;0,108037;0,112665;0,143893;-0,246436;-2,60095;-1,463107;26,245846
13:33:23,814;181,888457;0,104152;0,10773;0,145731;-0,225434;-2,55895;-1,473607;26,26685
13:33:23,864;182,359938;0,104047;0,111405;0,144628;-0,319942;-2,66395;-1,526109;26,258973
13:33:23,914;182,171346;0,105097;0,106995;0,143526;-0,264812;-2,629825;-1,512984;26,23797
13:33:23,964;182,265642;0,103732;0,10941;0,144261;-0,29894;-2,682324;-1,533984;26,235344
13:33:24,014;183,585788;0,101737;0,105105;0,143709;-0,217558;-2,635075;-1,468357;26,258973
13:33:24,064;182,831419;0,107722;0,110985;0,146098;-0,225434;-2,66395;-1,476233;26,23797
13:33:24,114;183,774381;0,106777;0,10941;0,145363;-0,125675;-2,511701;-1,371229;26,248472
13:33:24,164;183,020011;0,104362;0,11004;0,146282;-0,130926;-2,572075;-1,373854;26,251097
13:33:24,214;182,925715;0,104047;0,10815;0,145179;-0,049544;-2,427701;-1,287226;26,245846
13:33:24,264;184,245861;0,107722;0,108255;0,146282;-0,096798;-2,440826;-1,310852;26,240595
13:33:24,314;183,020011;0,107512;0,106995;0,146649;-0,044293;-2,396202;-1,281976;26,253723
13:33:24,364;181,699865;0,110032;0,109725;0,146282;-0,081046;-2,472326;-1,308227;26,243221
13:33:24,414;181,511273;0,105622;0,108045;0,145363;-0,049544;-2,453951;-1,302977;26,253723
13:33:24,464;181,228384;0,103732;0,108255;0,147201;-0,117799;-2,519576;-1,384355;26,245846
13:33:24,514;180,379719;0,105517;0,10794;0,145547;-0,138801;-2,485451;-1,384355;26,251097
13:33:24,564;180,851199;0,106777;0,10878;0,146649;-0,199182;-2,619325;-1,444732;26,245846
13:33:24,614;180,191126;0,105517;0,111825;0,143526;-0,175555;-2,545825;-1,434231;26,251097
13:33:24,664;180,002534;0,101842;0,106785;0,143526;-0,272688;-2,650825;-1,528734;26,240595
13:33:24,714;179,908238;0,107827;0,106995;0,144077;-0,180805;-2,629825;-1,465732;26,23797
13:33:24,764;180,568311;0,106462;0,10773;0,145547;-0,280564;-2,650825;-1,533984;26,256348
13:33:24,814;180,474015;0,107197;0,10941;0,145914;-0,17818;-2,60095;-1,468357;26,243221
13:33:24,864;181,228384;0,106882;0,107415;0,145179;-0,225434;-2,6377;-1,494608;26,235344
13:33:24,914;181,416976;0,106042;0,11067;0,143893;-0,133551;-2,556325;-1,379104;26,23797
13:33:24,964;180,002534;0,106777;0,109515;0,143342;-0,117799;-2,545825;-1,381729;26,235344
13:33:25,014;181,134088;0,104992;0,10941;0,143342;-0,033792;-2,527451;-1,355479;26,256348
13:33:25,064;180,191126;0,103102;0,105945;0,144444;-0,060044;-2,459201;-1,329228;26,256348
13:33:25,114;179,908238;0,106882;0,108885;0,144996;0,031839;-2,425076;-1,305602;26,253723
13:33:25,164;179,813942;0,101842;0,10773;0,146282;-0,031167;-2,482826;-1,347603;26,258973
13:33:25,214;178,87098;0,108247;0,110355;0,145731;-0,044293;-2,375202;-1,318727;26,243221
13:33:25,264;178,493795;0,107197;0,10815;0,144444;-0,104673;-2,509076;-1,376479;26,224842
13:33:25,314;178,116611;0,104152;0,109725;0,145547;-0,146677;-2,472326;-1,368604;26,248472
13:33:25,364;178,965276;0,105412;0,10836;0,146649;-0,17818;-2,60095;-1,449982;26,245846
13:33:25,414;180,568311;0,107407;0,109935;0,148303;-0,138801;-2,566825;-1,431606;26,230093
13:33:25,464;179,153869;0,108457;0,10857;0,147936;-0,225434;-2,645575;-1,505108;26,243221
