Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
11:33:23,064;358,599473;0,096171;0,1071;0,149589;-1,236147;-2,656075;-2,066877;25,127397
11:33:23,114;358,505177;0,098692;0,112035;0,150508;-1,241397;-2,810949;-2,085252;25,156277
11:33:23,164;358,505177;0,097957;0,1092;0,147568;-1,26765;-2,866073;-2,15088;25,137899
11:33:23,214;360,485396;0,094281;0,106995;0,146833;-1,293902;-2,850323;-2,140379;25,124772
11:33:23,264;358,316584;0,097852;0,10584;0,144996;-1,270275;-2,871323;-2,16663;25,140525
11:33:23,314;360,3911;0,097117;0,109515;0,145731;-1,283401;-2,863448;-2,15613;25,14315
11:33:23,364;359,542435;0,095121;0,10479;0,144812;-1,286026;-2,837198;-2,140379;25,140525
11:33:23,414;360,673989;0,097327;0,108465;0,147936;-1,26765;-2,866073;-2,148255;25,14315
11:33:23,464;360,862581;0,100582;0,11151;0,147384;-1,228271;-2,782074;-2,053751;25,135274
11:33:23,514;361,522654;0,100162;0,10941;0,148119;-1,194143;-2,750574;-2,066877;25,130023
11:33:23,564;361,61695;0,097642;0,108885;0,149773;-1,141639;-2,656075;-2,01175;25,137899
11:33:23,614;362,277023;0,096696;0,10941;0,149773;-1,15739;-2,650825;-1,980249;25,14315
11:33:23,664;362,8428;0,095961;0,106785;0,146466;-1,110136;-2,6062;-1,948748;25,137899
11:33:23,714;361,239766;0,094911;0,103425;0,147017;-1,136388;-2,666575;-1,993374;25,137899
11:33:23,764;362,465616;0,098482;0,10794;0,147384;-1,139013;-2,661325;-1,993374;25,148401
11:33:23,814;361,994135;0,097222;0,106575;0,148119;-1,188893;-2,656075;-2,043251;25,124772
11:33:23,864;362,465616;0,095016;0,10605;0,147384;-1,207269;-2,713824;-2,038001;25,14315
11:33:23,914;362,937097;0,095226;0,106365;0,146098;-1,236147;-2,763699;-2,074752;25,140525
11:33:23,964;362,277023;0,095331;0,10794;0,144812;-1,246648;-2,774199;-2,124629;25,127397
11:33:24,014;363,59717;0,097117;0,1071;0,144077;-1,304403;-2,831948;-2,17713;25,148401
11:33:24,064;363,59717;0,095751;0,1071;0,144261;-1,299152;-2,779449;-2,174505;25,145775
11:33:24,114;363,502874;0,096591;0,109935;0,146282;-1,309653;-2,805699;-2,143004;25,151026
11:33:24,164;363,785762;0,098797;0,10836;0,147017;-1,241397;-2,795199;-2,101003;25,135274
11:33:24,214;363,031393;0,100162;0,112035;0,147936;-1,241397;-2,792574;-2,137754;25,145775
11:33:24,264;364,351539;0,100162;0,109515;0,147752;-1,183642;-2,742699;-2,030126;25,151026
11:33:24,314;363,691466;0,097011;0,106155;0,148487;-1,191518;-2,776824;-2,087878;25,14315
11:33:24,364;363,125689;0,099427;0,108255;0,148303;-1,146889;-2,6482;-2,0065;25,169405
11:33:24,414;364,257243;0,097537;0,111195;0,148487;-1,149514;-2,711199;-2,017;25,14315
