Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
12:53:19,764;350,30141;0,097747;0,10962;0,149589;-0,842363;-2,800449;-1,872621;25,487086
12:53:19,814;351,52726;0,098692;0,112035;0,148303;-0,81611;-2,761074;-1,848995;25,47921
12:53:19,864;350,584299;0,099007;0,11214;0,146466;-0,784608;-2,703324;-1,806993;25,471333
12:53:19,914;350,490003;0,096381;0,105525;0,145547;-0,771481;-2,755824;-1,785993;25,471333
12:53:19,964;349,641337;0,095961;0,10668;0,145363;-0,739979;-2,705949;-1,772867;25,487086
12:53:20,014;350,678595;0,096696;0,104475;0,147752;-0,724227;-2,650825;-1,736116;25,460832
12:53:20,064;348,604079;0,098587;0,108255;0,147568;-0,7006;-2,698074;-1,725616;25,484461
12:53:20,114;349,358449;0,096066;0,10521;0,144444;-0,682224;-2,6272;-1,720366;25,497588
12:53:20,164;348,886968;0,095226;0,10563;0,146098;-0,697975;-2,650825;-1,728241;25,492337
12:53:20,214;349,07556;0,093966;0,10605;0,145547;-0,679598;-2,679699;-1,720366;25,476584
12:53:20,264;350,395706;0,098272;0,106365;0,146466;-0,729478;-2,6377;-1,715115;25,487086
12:53:20,314;350,678595;0,097222;0,107835;0,146098;-0,705851;-2,677075;-1,725616;25,489712
12:53:20,364;348,981264;0,098272;0,108465;0,145547;-0,742604;-2,6587;-1,767617;25,484461
12:53:20,414;349,358449;0,095646;0,10668;0,147017;-0,747854;-2,713824;-1,757117;25,484461
12:53:20,464;349,264152;0,097432;0,108045;0,148119;-0,792483;-2,726949;-1,778117;25,489712
12:53:20,514;349,735633;0,096801;0,1092;0,146833;-0,789858;-2,66395;-1,806993;25,492337
12:53:20,564;350,490003;0,097117;0,108675;0,146282;-0,792483;-2,758449;-1,812244;25,492337
12:53:20,614;349,735633;0,094386;0,104895;0,144996;-0,805609;-2,766324;-1,809618;25,487086
12:53:20,664;350,112818;0,098167;0,1092;0,143342;-0,81086;-2,734824;-1,85162;25,458206
12:53:20,714;351,150076;0,096591;0,108885;0,144628;-0,779357;-2,713824;-1,806993;25,481835
12:53:20,764;350,30141;0,096066;0,107835;0,145179;-0,784608;-2,761074;-1,827994;25,473959
12:53:20,814;350,30141;0,096801;0,10815;0,146649;-0,768856;-2,703324;-1,775492;25,476584
12:53:20,864;350,112818;0,095121;0,10668;0,144996;-0,76098;-2,703324;-1,788618;25,481835
12:53:20,914;351,244372;0,094491;0,103215;0,144261;-0,737353;-2,682324;-1,764992;25,447704
12:53:20,964;350,584299;0,097011;0,106365;0,146098;-0,732103;-2,6377;-1,741366;25,466082
12:53:21,014;351,05578;0,098797;0,110145;0,146098;-0,726853;-2,684949;-1,728241;25,473959
12:53:21,064;351,998741;0,096171;0,10269;0,145363;-0,729478;-2,695449;-1,728241;25,484461
12:53:21,114;351,244372;0,097537;0,10584;0,146282;-0,676973;-2,64295;-1,722991;25,481835
12:53:21,164;350,772891;0,098272;0,106365;0,145731;-0,705851;-2,6167;-1,70724;25,487086
12:53:21,214;350,395706;0,093546;0,101954;0,145363;-0,705851;-2,656075;-1,746616;25,481835
12:53:21,264;350,018522;0,093336;0,105735;0,146098;-0,739979;-2,66395;-1,746616;25,500214
12:53:21,314;349,264152;0,094596;0,104685;0,142791;-0,721602;-2,614075;-1,754492;25,466082
12:53:21,364;348,886968;0,097642;0,10689;0,145547;-0,784608;-2,695449;-1,762367;25,471333
12:53:21,414;350,207114;0,096276;0,1071;0,146466;-0,763606;-2,713824;-1,770242;25,47921
12:53:21,464;350,207114;0,096171;0,106365;0,145179;-0,768856;-2,656075;-1,778117;25,492337
12:53:21,514;350,30141;0,097011;0,107625;0,147384;-0,76098;-2,671825;-1,801743;25,494963
12:53:21,564;349,641337;0,100372;0,11109;0,147568;-0,795108;-2,747949;-1,796493;25,47921
12:53:21,614;349,452745;0,097432;0,10794;0,144996;-0,797734;-2,740074;-1,796493;25,484461
12:53:21,664;348,698375;0,094491;0,104265;0,144261;-0,802984;-2,677075;-1,791243;25,497588
12:53:21,714;348,698375;0,094701;0,105315;0,145547;-0,758355;-2,755824;-1,785993;25,489712
12:53:21,764;349,264152;0,099532;0,10773;0,144996;-0,787233;-2,750574;-1,796493;25,492337
12:53:21,814;349,829929;0,097537;0,10668;0,145731;-0,737353;-2,753199;-1,778117;25,471333
12:53:21,864;350,112818;0,097747;0,10584;0,144812;-0,800359;-2,734824;-1,759742;25,471333
12:53:21,914;348,698375;0,097327;0,106575;0,147201;-0,75048;-2,684949;-1,743991;25,452955
12:53:21,964;349,547041;0,098587;0,109305;0,145547;-0,747854;-2,671825;-1,728241;25,497588
12:53:22,014;349,169856;0,099007;0,10941;0,146282;-0,711101;-2,684949;-1,70199;25,497588
12:53:22,064;350,207114;0,097537;0,107625;0,144996;-0,711101;-2,6482;-1,720366;25,492337
12:53:22,114;349,547041;0,097642;0,106155;0,144812;-0,676973;-2,582575;-1,709865;25,489712
12:53:22,164;349,169856;0,097327;0,103215;0,145731;-0,729478;-2,64295;-1,71249;25,487086
12:53:22,214;348,038302;0,097011;0,10416;0,144628;-0,703225;-2,640325;-1,699365;25,489712
12:53:22,264;347,661118;0,093966;0,103005;0,146833;-0,69535;-2,5852;-1,722991;25,473959
12:53:22,314;348,321191;0,093966;0,104895;0,145363;-0,747854;-2,64295;-1,751867;25,473959
12:53:22,364;347,001044;0,093861;0,103425;0,142607;-0,776732;-2,698074;-1,780743;25,473959
12:53:22,414;348,226895;0,090396;0,100589;0,142423;-0,787233;-2,726949;-1,809618;25,502839
12:53:22,464;347,661118;0,096171;0,105;0,144261;-0,787233;-2,708574;-1,875246;25,47921
12:53:22,514;347,472525;0,094491;0,10626;0,146282;-0,789858;-2,763699;-1,835869;25,473959
12:53:22,564;347,095341;0,096591;0,10605;0,145179;-0,792483;-2,784699;-1,877871;25,476584
12:53:22,614;347,189637;0,097537;0,105735;0,145914;-0,792483;-2,742699;-1,814869;25,481835
12:53:22,664;346,906748;0,097747;0,106365;0,147384;-0,797734;-2,753199;-1,820119;25,494963
12:53:22,714;348,321191;0,100372;0,11319;0,148119;-0,758355;-2,753199;-1,778117;25,494963
12:53:22,764;347,189637;0,098797;0,1092;0,146282;-0,737353;-2,6587;-1,751867;25,502839
12:53:22,814;347,566821;0,093966;0,106365;0,146649;-0,7006;-2,6482;-1,715115;25,489712
12:53:22,864;347,378229;0,097432;0,1092;0,148854;-0,679598;-2,629825;-1,686239;25,492337
12:53:22,914;344,926529;0,099427;0,109935;0,146649;-0,627094;-2,61145;-1,69149;25,463457
12:53:22,964;345,39801;0,098797;0,106575;0,146098;-0,658597;-2,62195;-1,71774;25,473959
12:53:23,014;344,549344;0,095646;0,106155;0,147936;-0,669097;-2,650825;-1,704615;25,492337
12:53:23,064;345,963787;0,096171;0,10731;0,149957;-0,742604;-2,629825;-1,730866;25,47921
12:53:23,114;344,926529;0,094701;0,107205;0,147201;-0,753105;-2,6272;-1,746616;25,463457
12:53:23,164;344,737936;0,098377;0,10668;0,146649;-0,795108;-2,692824;-1,801743;25,497588
12:53:23,214;346,246675;0,097011;0,10479;0,146098;-0,808235;-2,726949;-1,827994;25,466082
12:53:23,264;347,283933;0,095121;0,10836;0,146833;-0,87124;-2,776824;-1,830619;25,505464
12:53:23,314;348,226895;0,099637;0,108045;0,146649;-0,863364;-2,782074;-1,877871;25,492337
12:53:23,364;347,566821;0,098587;0,108465;0,146282;-0,858114;-2,829323;-1,869995;25,466082
12:53:23,414;347,755414;0,097222;0,106995;0,146282;-0,858114;-2,771574;-1,86737;25,47921
12:53:23,464;347,283933;0,098587;0,108255;0,145363;-0,787233;-2,763699;-1,817494;25,473959
12:53:23,514;349,452745;0,097011;0,107205;0,144077;-0,768856;-2,734824;-1,804368;25,492337
12:53:23,564;350,678595;0,093651;0,1071;0,144444;-0,75573;-2,684949;-1,743991;25,497588
12:53:23,614;349,07556;0,096171;0,10626;0,143709;-0,7006;-2,6377;-1,725616;25,484461
12:53:23,664;349,264152;0,096171;0,10521;0,146098;-0,629719;-2,6167;-1,667864;25,476584
12:53:23,714;348,981264;0,097011;0,108885;0,146282;-0,611342;-2,5537;-1,652113;25,494963
12:53:23,764;350,490003;0,096171;0,109725;0,146833;-0,64547;-2,587825;-1,649488;25,497588
12:53:23,814;351,621557;0,092391;0,101219;0,145731;-0,632344;-2,543201;-1,670489;25,476584
12:53:23,864;350,584299;0,096696;0,10731;0,146098;-0,669097;-2,60095;-1,69149;25,505464
12:53:23,914;349,547041;0,094911;0,107205;0,145547;-0,713726;-2,62195;-1,720366;25,463457
12:53:23,964;350,112818;0,094596;0,102585;0,145731;-0,758355;-2,67445;-1,799118;25,489712
12:53:24,014;350,207114;0,094596;0,10458;0,144996;-0,805609;-2,682324;-1,843745;25,492337
12:53:24,064;350,584299;0,093756;0,10395;0,143709;-0,87124;-2,800449;-1,86212;25,487086
