Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
12:13:22,914;356,242069;0,103627;0,113715;0,149406;-1,175767;-2,818823;-2,061627;25,261296
12:13:22,964;355,864884;0,102787;0,1092;0,148671;-1,15214;-2,821448;-2,064252;25,248169
12:13:23,014;355,676292;0,095436;0,106785;0,148119;-1,062882;-2,703324;-1,953998;25,248169
12:13:23,064;356,807846;0,098062;0,11046;0,145914;-1,091759;-2,766324;-2,009125;25,245543
12:13:23,114;355,204811;0,095121;0,105525;0,145914;-1,055006;-2,682324;-1,951373;25,258671
12:13:23,164;354,073257;0,096381;0,10647;0,144812;-1,081258;-2,768949;-1,996;25,245543
12:13:23,214;354,639034;0,095856;0,106365;0,145179;-1,078633;-2,726949;-2,02225;25,22979
12:13:23,264;354,167553;0,094176;0,10395;0,147201;-1,15214;-2,818823;-2,072127;25,250794
12:13:23,314;354,450442;0,096066;0,109725;0,145547;-1,160015;-2,784699;-2,064252;25,22979
12:13:23,364;354,073257;0,093231;0,102269;0,144077;-1,225646;-2,926448;-2,16663;25,250794
12:13:23,414;355,016219;0,096066;0,10626;0,146098;-1,246648;-2,881823;-2,122004;25,245543
12:13:23,464;354,261849;0,097432;0,10815;0,147017;-1,286026;-2,942198;-2,211257;25,22979
12:13:23,514;354,450442;0,098167;0,107205;0,146098;-1,246648;-2,929073;-2,15613;25,250794
12:13:23,564;354,827626;0,094701;0,103635;0,146282;-1,278151;-2,978947;-2,187631;25,256045
12:13:23,614;354,450442;0,095646;0,106365;0,144996;-1,173141;-2,900198;-2,106253;25,232416
12:13:23,664;355,676292;0,098167;0,107835;0,146282;-1,173141;-2,871323;-2,098378;25,22979
12:13:23,714;355,204811;0,094701;0,104895;0,145914;-1,136388;-2,803074;-2,030126;25,25342
12:13:23,764;354,544738;0,099952;0,10773;0,144077;-1,099635;-2,803074;-2,024875;25,248169
12:13:23,814;354,261849;0,094071;0,10479;0,144812;-1,013002;-2,747949;-1,948748;25,248169
12:13:23,864;354,827626;0,096486;0,10689;0,147017;-1,062882;-2,761074;-1,943498;25,245543
12:13:23,914;355,299107;0,094491;0,103425;0,144628;-0,997251;-2,698074;-1,909372;25,232416
12:13:23,964;354,073257;0,095121;0,10689;0,147017;-1,076008;-2,719074;-1,974999;25,248169
12:13:24,014;354,167553;0,098692;0,106575;0,145914;-1,026129;-2,732199;-1,943498;25,240292
12:13:24,064;352,753111;0,095331;0,105735;0,146466;-1,133763;-2,779449;-2,048501;25,235041
12:13:24,114;353,035999;0,095226;0,10794;0,147384;-1,123262;-2,789949;-2,040626;25,256045
12:13:24,164;352,375926;0,097011;0,107625;0,149957;-1,225646;-2,858198;-2,135129;25,25342
