Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
09:13:23,564;2006,990755;0,663001;1,006496;1,122522;-6,231957;-6,344172;-6,309016;25,589479
09:13:23,614;2006,802163;0,666047;1,010171;1,12932;-6,287087;-6,373047;-6,327391;25,573727
09:13:23,664;2006,990755;0,666782;1,016682;1,137956;-6,245083;-6,338922;-6,322141;25,592105
09:13:23,714;2005,764905;0,662791;1,010171;1,12785;-6,255584;-6,370422;-6,324766;25,584228
09:13:23,764;2005,576313;0,663421;1,014057;1,130607;-6,247708;-6,375672;-6,322141;25,589479
09:13:23,814;2006,236386;0,664471;1,014687;1,132077;-6,313339;-6,415047;-6,382518;25,53697
09:13:23,864;2005,199128;0,662266;1,012797;1,131342;-6,231957;-6,354672;-6,324766;25,573727
09:13:23,914;2008,028013;0,673187;1,018782;1,129872;-6,245083;-6,331047;-6,30114;25,557974
09:13:23,964;2006,896459;0,65082;1,001981;1,126748;-6,184703;-6,320547;-6,288015;25,557974
09:13:24,014;2005,38772;0,675602;1,017102;1,12785;-6,294962;-6,422922;-6,414019;25,584228
09:13:24,064;2006,707867;0,648405;0,99442;1,121419;-6,21358;-6,315297;-6,269639;25,607858
09:13:24,114;2006,613571;0,678332;1,026028;1,1352;-6,284461;-6,365172;-6,382518;25,597356
09:13:24,164;2006,990755;0,650925;1,001036;1,116642;-6,237207;-6,407172;-6,332641;25,581603
09:13:24,214;2006,990755;0,669722;1,013742;1,129688;-6,250333;-6,394047;-6,319516;25,552723
09:13:24,264;2007,273644;0,663631;1,009226;1,128218;-6,281836;-6,394047;-6,369393;25,61836
09:13:24,314;2008,122309;0,661006;1,008386;1,124727;-6,297588;-6,391422;-6,390393;25,605232
09:13:24,364;2008,59379;0,665417;1,012797;1,129137;-6,176827;-6,341547;-6,235513;25,552723
09:13:24,414;2008,688086;0,666362;1,011431;1,12932;-6,242458;-6,338922;-6,340517;25,602607
09:13:24,464;2008,59379;0,659326;1,006286;1,123624;-6,195204;-6,336297;-6,269639;25,571101
09:13:24,514;2007,556532;0,659536;1,004816;1,122338;-6,300213;-6,415047;-6,379893;25,628861
09:13:24,564;2008,216605;0,665312;1,006916;1,127115;-6,184703;-6,273298;-6,248639;25,568476
09:13:24,614;2008,876679;0,663421;1,005971;1,118296;-6,26346;-6,407172;-6,330016;25,515966
09:13:24,664;2008,782382;0,662686;1,005341;1,128402;-6,239833;-6,404547;-6,319516;25,597356
09:13:24,714;2007,839421;0,673712;1,019097;1,139059;-6,26871;-6,323172;-6,322141;25,62361
09:13:24,764;2008,405198;0,655336;1,001141;1,123257;-6,216206;-6,344172;-6,277515;25,597356
09:13:24,814;2008,028013;0,663631;1,009751;1,123992;-6,279211;-6,412422;-6,322141;25,56585
09:13:24,864;2008,122309;0,655336;0,997885;1,121603;-6,179452;-6,307422;-6,277515;25,589479
09:13:24,914;2008,216605;0,662791;1,010696;1,126748;-6,247708;-6,307422;-6,332641;25,607858
09:13:24,964;2006,519274;0,653236;0,99715;1,118112;-6,182078;-6,315297;-6,253889;25,521217
09:13:25,014;2006,519274;0,670457;1,015002;1,131709;-6,271335;-6,378297;-6,332641;25,599981
09:13:25,064;2006,802163;0,656596;1,002296;1,116458;-6,216206;-6,346797;-6,267014;25,557974
09:13:25,114;2005,293424;0,665942;1,011642;1,125462;-6,26871;-6,359922;-6,324766;25,581603
09:13:25,164;2004,91624;0,659851;1,005446;1,121236;-6,216206;-6,341547;-6,261764;25,571101
09:13:25,214;2005,38772;0,658906;1,001456;1,115539;-6,289712;-6,362547;-6,343142;25,599981
09:13:25,264;2006,14209;0,657331;1,003556;1,128218;-6,21358;-6,294298;-6,261764;25,568476
09:13:25,314;2005,199128;0,678962;1,025293;1,1352;-6,252959;-6,375672;-6,332641;25,576352
09:13:25,364;2005,010536;0,65061;0,9961;1,10966;-6,239833;-6,307422;-6,253889;25,523843
09:13:25,414;2004,350463;0,677387;1,023402;1,139426;-6,250333;-6,420297;-6,332641;25,515966
09:13:25,464;2005,38772;0,652501;0,999041;1,121419;-6,21358;-6,302172;-6,240763;25,56585
09:13:25,514;2003,878982;0,661846;1,009961;1,12638;-6,310714;-6,417672;-6,385143;25,610483
09:13:25,564;2004,256166;0,658696;1,008701;1,128953;-6,21358;-6,331047;-6,240763;25,586854
09:13:25,614;2004,256166;0,665101;1,009856;1,124359;-6,294962;-6,396672;-6,356267;25,620985
09:13:25,664;2002,841724;0,651871;0,99883;1,122338;-6,203079;-6,289048;-6,246014;25,56585
09:13:25,714;2003,501797;0,661531;1,003136;1,120684;-6,336966;-6,438671;-6,403519;25,560599
09:13:25,764;2003,973278;0,664786;1,010591;1,128034;-6,226706;-6,344172;-6,282765;25,56585
09:13:25,814;2004,633351;0,664996;1,009856;1,130239;-6,331716;-6,296922;-6,343142;25,581603
09:13:25,864;2004,539055;0,666257;1,012797;1,129137;-6,203079;-6,294298;-6,251264;25,552723
09:13:25,914;2005,104832;0,651556;0,994;1,114437;-6,216206;-6,317922;-6,27489;25,578978
09:13:25,964;2006,330682;0,656491;1,000406;1,123992;-6,174202;-6,223423;-6,188262;25,602607
09:13:26,014;2003,690389;0,676967;1,023402;1,137405;-6,281836;-6,341547;-6,309016;25,550097
09:13:26,064;2004,444759;0,638745;0,987175;1,113151;-6,216206;-6,252298;-6,238138;25,563225
09:13:26,114;2004,16187;0,677282;1,024873;1,135016;-6,273961;-6,407172;-6,330016;25,59473
09:13:26,164;2005,576313;0,652291;1,000721;1,125645;-6,218831;-6,312672;-6,282765;25,573727
09:13:26,214;2005,482017;0,670562;1,023402;1,135568;-6,266085;-6,370422;-6,332641;25,581603
09:13:26,264;2004,91624;0,657646;1,006706;1,12344;-6,255584;-6,352047;-6,272264;25,581603
09:13:26,314;2005,199128;0,658906;1,003136;1,120868;-6,258209;-6,349422;-6,322141;25,56585
09:13:26,364;2005,104832;0,663946;1,005971;1,124175;-6,203079;-6,270673;-6,28014;25,568476
09:13:26,414;2004,256166;0,663841;1,009541;1,127299;-6,229332;-6,310047;-6,29064;25,557974
09:13:26,464;2004,727647;0,668357;1,015002;1,129688;-6,21358;-6,254923;-6,248639;25,563225
09:13:26,514;2004,633351;0,656071;1,000931;1,124175;-6,297588;-6,399297;-6,340517;25,555348
09:13:26,564;2004,633351;0,666992;1,010801;1,119949;-6,176827;-6,333672;-6,232888;25,581603
09:13:26,614;2005,576313;0,645255;0,99022;1,114437;-6,242458;-6,312672;-6,29589;25,529094
09:13:26,664;2005,953497;0,665837;1,009541;1,125094;-6,245083;-6,341547;-6,29589;25,56585
09:13:26,714;2004,444759;0,657121;1,000511;1,123073;-6,255584;-6,425547;-6,324766;25,610483
09:13:26,764;2005,293424;0,661846;1,008281;1,124543;-6,171577;-6,205048;-6,238138;25,557974
09:13:26,814;2005,670609;0,659011;1,002716;1,124175;-6,276586;-6,488546;-6,361517;25,547472
09:13:26,864;2005,482017;0,670562;1,016472;1,12932;-6,192578;-6,328422;-6,267014;25,568476
09:13:26,914;2004,821943;0,660061;1,007126;1,124543;-6,245083;-6,325797;-6,314266;25,555348
09:13:26,964;2004,91624;0,665207;1,013007;1,130239;-6,237207;-6,328422;-6,306391;25,531719
09:13:27,014;2005,104832;0,666572;1,014792;1,131342;-6,224081;-6,357297;-6,306391;25,539596
09:13:27,064;2005,764905;0,655966;1,001456;1,123808;-6,237207;-6,310047;-6,30114;25,592105
09:13:27,114;2003,690389;0,662896;1,011642;1,126197;-6,26871;-6,352047;-6,319516;25,589479
09:13:27,164;2004,350463;0,664996;1,013742;1,121236;-6,195204;-6,365172;-6,29064;25,56585
