Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
10:53:23,214;367,180424;0,094806;0,105945;0,146098;-1,661434;-2,887073;-2,274259;24,993498
10:53:23,264;366,803239;0,096801;0,108255;0,146098;-1,61418;-2,871323;-2,229632;24,980371
10:53:23,314;368,217682;0,098587;0,107415;0,146833;-1,671935;-2,942198;-2,266383;24,961993
10:53:23,364;367,557609;0,095961;0,10479;0,148671;-1,61418;-2,831948;-2,232257;24,985622
10:53:23,414;367,557609;0,095016;0,10836;0,146466;-1,677185;-2,892323;-2,269008;24,972495
10:53:23,464;368,123386;0,100897;0,110775;0,148671;-1,587927;-2,852948;-2,206006;24,977746
10:53:23,514;367,746201;0,099427;0,11088;0,148303;-1,656183;-2,881823;-2,255883;24,959367
10:53:23,564;367,746201;0,101632;0,11109;0,148671;-1,611555;-2,852948;-2,221757;24,961993
10:53:23,614;368,594867;0,097011;0,10941;0,148119;-1,658809;-2,910698;-2,263758;24,956742
10:53:23,664;368,877755;0,097747;0,10815;0,147752;-1,645683;-2,850323;-2,240133;24,97512
10:53:23,714;368,02909;0,097117;0,10752;0,147568;-1,661434;-2,905448;-2,279509;24,964618
10:53:23,764;368,972051;0,098272;0,10689;0,149406;-1,632556;-2,866073;-2,224382;24,97512
10:53:23,814;368,02909;0,098482;0,11046;0,148303;-1,67981;-2,876573;-2,292634;24,954116
10:53:23,864;367,651905;0,097852;0,108465;0,147568;-1,624681;-2,873948;-2,253258;24,951491
10:53:23,914;368,217682;0,100792;0,111615;0,148303;-1,658809;-2,908073;-2,297884;24,988247
10:53:23,964;369,160644;0,101632;0,106575;0,147201;-1,648308;-2,863448;-2,248008;24,948865
10:53:24,014;369,537828;0,094071;0,105945;0,145179;-1,653558;-2,889698;-2,269008;24,969869
10:53:24,064;368,311978;0,096801;0,108465;0,144996;-1,616805;-2,879198;-2,237507;24,969869
10:53:24,114;369,160644;0,097642;0,10836;0,146833;-1,66931;-2,881823;-2,263758;24,956742
10:53:24,164;369,443532;0,092916;0,10374;0,146466;-1,624681;-2,829323;-2,227007;24,972495
10:53:24,214;370,197901;0,094071;0,10647;0,147017;-1,653558;-2,926448;-2,263758;24,94624
10:53:24,264;369,349236;0,095016;0,106575;0,147201;-1,622055;-2,831948;-2,263758;24,959367
10:53:24,314;369,160644;0,095121;0,107625;0,147017;-1,650933;-2,902823;-2,282134;24,977746
10:53:24,364;369,160644;0,095961;0,10962;0,148303;-1,61418;-2,824073;-2,240133;24,967244
10:53:24,414;370,763678;0,099532;0,106785;0,148303;-1,653558;-2,889698;-2,250633;24,954116
10:53:24,464;368,972051;0,100057;0,10836;0,146282;-1,61418;-2,826698;-2,232257;24,980371
10:53:24,514;370,103605;0,097011;0,108675;0,147017;-1,653558;-2,902823;-2,274259;24,982997
10:53:24,564;369,820717;0,094806;0,10395;0,145731;-1,603679;-2,858198;-2,234882;24,977746
10:53:24,614;371,046567;0,098062;0,108465;0,146649;-1,664059;-2,902823;-2,253258;24,951491
10:53:24,664;368,877755;0,095331;0,10752;0,147201;-1,632556;-2,816198;-2,221757;24,972495
10:53:24,714;369,820717;0,094596;0,105735;0,145914;-1,664059;-2,905448;-2,255883;24,982997
10:53:24,764;370,103605;0,097117;0,10395;0,144444;-1,616805;-2,884448;-2,242758;24,980371
10:53:24,814;369,537828;0,096906;0,10899;0,147201;-1,635182;-2,892323;-2,274259;24,977746
10:53:24,864;368,217682;0,096486;0,106785;0,145179;-1,643057;-2,842448;-2,219132;24,964618
10:53:24,914;369,160644;0,097642;0,10605;0,145547;-1,67456;-2,889698;-2,269008;24,961993
10:53:24,964;369,160644;0,096906;0,106575;0,146649;-1,616805;-2,776824;-2,198131;24,956742
10:53:25,014;367,746201;0,095961;0,10605;0,145363;-1,645683;-2,900198;-2,279509;24,954116
10:53:25,064;368,783459;0,093651;0,10248;0,146098;-1,629931;-2,845073;-2,229632;24,980371
10:53:25,114;369,537828;0,096696;0,108885;0,145914;-1,643057;-2,929073;-2,263758;24,97512
10:53:25,164;368,689163;0,096381;0,1092;0,147568;-1,61943;-2,837198;-2,229632;24,959367
10:53:25,214;367,651905;0,095646;0,10815;0,144444;-1,67456;-2,931698;-2,258508;24,956742
10:53:25,264;367,463313;0,095331;0,10542;0,144628;-1,598428;-2,873948;-2,227007;24,967244
10:53:25,314;366,897536;0,098587;0,11067;0,146098;-1,67981;-2,897573;-2,266383;24,980371
10:53:25,364;367,27472;0,097642;0,107205;0,145731;-1,648308;-2,876573;-2,242758;24,967244
10:53:25,414;366,520351;0,098377;0,10647;0,147936;-1,682436;-2,921198;-2,282134;24,969869
10:53:25,464;365,765982;0,095961;0,10752;0,148854;-1,637807;-2,855573;-2,216507;24,961993
10:53:25,514;365,671685;0,097747;0,11067;0,150508;-1,677185;-2,942198;-2,287384;24,959367
10:53:25,564;365,200205;0,101422;0,109935;0,15014;-1,611555;-2,852948;-2,232257;24,964618
10:53:25,614;364,634428;0,097852;0,1092;0,149406;-1,635182;-2,921198;-2,282134;24,964618
10:53:25,664;365,765982;0,099637;0,109515;0,148671;-1,61943;-2,873948;-2,211257;24,956742
10:53:25,714;363,125689;0,097642;0,106995;0,148303;-1,677185;-2,913323;-2,295259;24,972495
10:53:25,764;363,785762;0,094386;0,10605;0,145914;-1,637807;-2,897573;-2,232257;24,980371
10:53:25,814;364,257243;0,093756;0,105735;0,147017;-1,658809;-2,892323;-2,269008;24,988247
10:53:25,864;365,011612;0,100687;0,111195;0,147752;-1,593178;-2,881823;-2,221757;24,956742
10:53:25,914;362,37132;0,100162;0,111195;0,147017;-1,650933;-2,918573;-2,274259;24,967244
10:53:25,964;363,59717;0,098272;0,106785;0,146098;-1,595803;-2,839823;-2,190256;24,972495
10:53:26,014;363,408577;0,097327;0,1071;0,147936;-1,643057;-2,892323;-2,271634;24,980371
10:53:26,064;365,294501;0,101632;0,11088;0,148487;-1,601054;-2,858198;-2,198131;24,982997
10:53:26,114;363,408577;0,095226;0,10626;0,145914;-1,653558;-2,863448;-2,282134;24,956742
10:53:26,164;364,634428;0,097222;0,10668;0,147568;-1,616805;-2,868698;-2,203381;24,959367
10:53:26,214;365,577389;0,098272;0,107625;0,147936;-1,661434;-2,871323;-2,245383;24,956742
10:53:26,264;363,408577;0,098272;0,10857;0,147752;-1,606304;-2,829323;-2,206006;24,97512
10:53:26,314;365,671685;0,099007;0,111825;0,148303;-1,645683;-2,863448;-2,258508;24,97512
10:53:26,364;366,331759;0,101212;0,110985;0,147017;-1,587927;-2,792574;-2,16663;24,951491
10:53:26,414;365,105908;0,095436;0,11046;0,146282;-1,648308;-2,908073;-2,266383;24,967244
10:53:26,464;365,294501;0,095961;0,106785;0,145547;-1,5643;-2,847698;-2,190256;24,967244
10:53:26,514;365,294501;0,098272;0,10899;0,147017;-1,624681;-2,879198;-2,250633;24,969869
10:53:26,564;363,691466;0,095226;0,105945;0,146282;-1,595803;-2,881823;-2,190256;24,961993
10:53:26,614;366,237462;0,096276;0,109095;0,147384;-1,658809;-2,921198;-2,274259;24,97512
10:53:26,664;366,708943;0,096066;0,107415;0,148119;-1,593178;-2,845073;-2,224382;24,967244
10:53:26,714;365,200205;0,097852;0,106155;0,149038;-1,685061;-2,894948;-2,279509;24,964618
10:53:26,764;366,897536;0,097957;0,10731;0,148119;-1,595803;-2,845073;-2,192881;24,988247
10:53:26,814;365,671685;0,096381;0,10857;0,148487;-1,666684;-2,910698;-2,276884;24,980371
10:53:26,864;367,651905;0,095646;0,104685;0,145914;-1,61418;-2,884448;-2,269008;24,969869
10:53:26,914;366,426055;0,095436;0,103845;0,146282;-1,645683;-2,934323;-2,303135;24,988247
10:53:26,964;367,27472;0,095751;0,1071;0,147568;-1,622055;-2,892323;-2,240133;24,972495
10:53:27,014;367,840497;0,097327;0,108465;0,147017;-1,690311;-2,923823;-2,295259;24,996124
10:53:27,064;367,086128;0,094806;0,104895;0,144996;-1,601054;-2,884448;-2,232257;24,980371
10:53:27,114;367,27472;0,099007;0,11235;0,148671;-1,671935;-2,957947;-2,30051;24,977746
10:53:27,164;367,651905;0,099637;0,109305;0,149589;-1,640432;-2,863448;-2,245383;24,935738
10:53:27,214;367,651905;0,094386;0,108045;0,147017;-1,713938;-2,910698;-2,32676;24,996124
10:53:27,264;367,463313;0,098272;0,109515;0,147936;-1,595803;-2,850323;-2,224382;24,977746
10:53:27,314;367,840497;0,101002;0,113295;0,149406;-1,661434;-2,918573;-2,297884;24,954116
10:53:27,364;367,27472;0,100582;0,113715;0,148671;-1,650933;-2,829323;-2,253258;24,97512
10:53:27,414;368,311978;0,099112;0,110145;0,147752;-1,640432;-2,902823;-2,284759;24,94624
10:53:27,464;368,02909;0,094491;0,107625;0,145914;-1,595803;-2,842448;-2,240133;24,956742
10:53:27,514;366,331759;0,092181;0,10605;0,147017;-1,640432;-2,858198;-2,274259;24,972495
10:53:27,564;368,123386;0,097222;0,106575;0,148854;-1,572176;-2,829323;-2,242758;24,964618
10:53:27,614;366,520351;0,094911;0,107835;0,148671;-1,664059;-2,894948;-2,245383;24,969869
10:53:27,664;367,557609;0,094386;0,1092;0,145547;-1,603679;-2,834573;-2,221757;24,977746
10:53:27,714;367,651905;0,096486;0,1071;0,146282;-1,645683;-2,905448;-2,263758;24,980371
10:53:27,764;366,331759;0,101002;0,111825;0,147384;-1,603679;-2,839823;-2,227007;24,980371
10:53:27,814;367,27472;0,097222;0,11046;0,148303;-1,692937;-2,902823;-2,279509;24,982997
10:53:27,864;368,972051;0,095436;0,1071;0,148303;-1,629931;-2,868698;-2,216507;24,980371
10:53:27,914;367,463313;0,094386;0,105735;0,147568;-1,661434;-2,889698;-2,258508;24,964618
10:53:27,964;368,311978;0,102472;0,11172;0,145547;-1,629931;-2,847698;-2,240133;24,988247
10:53:28,014;368,123386;0,098482;0,108255;0,148487;-1,67981;-2,921198;-2,284759;24,980371
10:53:28,064;366,708943;0,097747;0,10878;0,146466;-1,632556;-2,892323;-2,227007;24,972495
10:53:28,114;368,783459;0,101317;0,11151;0,148671;-1,671935;-2,897573;-2,292634;24,956742
10:53:28,164;367,934793;0,094806;0,109515;0,147017;-1,648308;-2,866073;-2,250633;24,996124
10:53:28,214;366,708943;0,095016;0,10563;0,144628;-1,682436;-2,905448;-2,295259;24,959367
10:53:28,264;366,614647;0,097537;0,106995;0,144444;-1,61418;-2,860823;-2,261133;24,977746
10:53:28,314;367,651905;0,101527;0,113715;0,148671;-1,671935;-2,905448;-2,308385;24,927862
10:53:28,364;368,02909;0,100897;0,110355;0,147017;-1,637807;-2,850323;-2,263758;24,964618
10:53:28,414;367,557609;0,097327;0,10374;0,148303;-1,653558;-2,926448;-2,32151;24,954116
10:53:28,464;366,614647;0,094491;0,10731;0,149038;-1,632556;-2,842448;-2,261133;24,985622
10:53:28,514;366,331759;0,094386;0,106785;0,146649;-1,664059;-2,884448;-2,295259;24,977746
10:53:28,564;366,991832;0,097117;0,109095;0,146466;-1,637807;-2,866073;-2,232257;24,980371
10:53:28,614;367,746201;0,094491;0,105315;0,148671;-1,653558;-2,884448;-2,30051;24,961993
10:53:28,664;367,180424;0,099532;0,10647;0,147568;-1,622055;-2,858198;-2,206006;24,97512
10:53:28,714;366,803239;0,095541;0,10563;0,146282;-1,645683;-2,892323;-2,282134;24,969869
10:53:28,764;366,614647;0,095226;0,107625;0,147568;-1,61418;-2,847698;-2,229632;24,964618
10:53:28,814;367,27472;0,096696;0,10668;0,147384;-1,640432;-2,908073;-2,253258;24,969869
10:53:28,864;365,011612;0,097642;0,10878;0,144812;-1,608929;-2,808324;-2,208632;24,980371
10:53:28,914;366,237462;0,095121;0,104265;0,146466;-1,622055;-2,879198;-2,269008;24,969869
10:53:28,964;365,765982;0,100372;0,107625;0,146649;-1,606304;-2,810949;-2,192881;24,954116
10:53:29,014;366,520351;0,097327;0,110565;0,145731;-1,66931;-2,897573;-2,271634;24,969869
10:53:29,064;366,426055;0,096066;0,10752;0,145547;-1,606304;-2,866073;-2,237507;24,954116
10:53:29,114;367,746201;0,096486;0,10626;0,147384;-1,650933;-2,892323;-2,295259;24,967244
10:53:29,164;365,388797;0,096381;0,105945;0,146466;-1,606304;-2,850323;-2,192881;25,006626
10:53:29,214;366,708943;0,096906;0,10479;0,146649;-1,658809;-2,915948;-2,263758;24,972495
10:53:29,264;366,803239;0,099007;0,112035;0,148487;-1,640432;-2,881823;-2,240133;24,990873
10:53:29,314;367,557609;0,100582;0,110985;0,149773;-1,67981;-2,902823;-2,308385;24,964618
10:53:29,364;365,860278;0,096801;0,105315;0,148303;-1,622055;-2,873948;-2,219132;24,967244
10:53:29,414;366,803239;0,099427;0,113505;0,149773;-1,685061;-2,889698;-2,284759;24,956742
10:53:29,464;366,04887;0,101212;0,112035;0,150324;-1,632556;-2,897573;-2,261133;24,964618
10:53:29,514;365,294501;0,097432;0,107205;0,149589;-1,661434;-2,910698;-2,292634;24,969869
10:53:29,564;367,369016;0,101212;0,10899;0,150324;-1,627306;-2,876573;-2,234882;24,959367
10:53:29,614;365,294501;0,102367;0,110775;0,150324;-1,687686;-2,929073;-2,295259;24,956742
10:53:29,664;365,388797;0,099637;0,11088;0,15014;-1,598428;-2,863448;-2,229632;24,964618
10:53:29,714;364,82302;0,096801;0,109935;0,149773;-1,682436;-2,960572;-2,31626;24,97512
10:53:29,764;365,954574;0,101422;0,113715;0,150875;-1,650933;-2,826698;-2,219132;24,97512
10:53:29,814;366,520351;0,097642;0,113085;0,149406;-1,666684;-2,931698;-2,290009;24,972495
10:53:29,864;365,388797;0,097642;0,10941;0,151243;-1,601054;-2,868698;-2,216507;24,967244
10:53:29,914;365,954574;0,098062;0,109095;0,150324;-1,685061;-2,926448;-2,282134;24,959367
10:53:29,964;366,04887;0,094701;0,106995;0,148487;-1,61418;-2,876573;-2,250633;24,972495
10:53:30,014;365,105908;0,099742;0,10941;0,148303;-1,595803;-2,868698;-2,229632;24,951491
