Time;Flow rate (Mean);TS outlet pressure (Mean);TS inlet pressure (Mean);Pump outlet pressure (Mean);Temperature TS outlet (Mean);Tank temperature (Mean);Temperature TS inlet (Mean);Bypass temperature (Mean)
10:13:23,364;386,039657;0,093966;0,10899;0,148671;-1,876703;-2,845073;-2,250633;24,759832
10:13:23,414;387,265507;0,097327;0,109095;0,147568;-1,952834;-2,934323;-2,318885;24,765083
10:13:23,464;386,69973;0,094806;0,11151;0,147568;-1,874077;-2,879198;-2,227007;24,736203
10:13:23,514;385,379584;0,095961;0,109095;0,147201;-1,926582;-2,936948;-2,290009;24,759832
10:13:23,564;386,22825;0,095436;0,10899;0,147752;-1,879328;-2,892323;-2,224382;24,751955
10:13:23,614;388,491358;0,097327;0,109725;0,147384;-1,939708;-2,908073;-2,308385;24,757206
10:13:23,664;387,171211;0,096486;0,110355;0,147201;-1,8452;-2,884448;-2,206006;24,765083
10:13:23,714;387,548396;0,096696;0,11046;0,146098;-1,908205;-2,913323;-2,290009;24,754581
10:13:23,764;386,982619;0,095751;0,10983;0,147201;-1,879328;-2,842448;-2,258508;24,757206
10:13:23,814;386,605434;0,096066;0,11025;0,147752;-1,947584;-2,955322;-2,329385;24,772959
10:13:23,864;387,736988;0,093126;0,104895;0,147384;-1,826823;-2,887073;-2,213882;24,780836
10:13:23,914;386,416842;0,095226;0,108045;0,146098;-1,952834;-2,902823;-2,292634;24,751955
10:13:23,964;387,736988;0,099742;0,113085;0,147017;-1,884578;-2,855573;-2,198131;24,746704
10:13:24,014;387,076915;0,091236;0,10353;0,147017;-1,926582;-2,921198;-2,30051;24,767708
10:13:24,064;387,548396;0,092706;0,105945;0,146466;-1,887204;-2,829323;-2,240133;24,754581
10:13:24,114;388,491358;0,098377;0,110775;0,147752;-1,939708;-2,915948;-2,308385;24,757206
10:13:24,164;387,265507;0,098377;0,11172;0,146649;-1,902955;-2,850323;-2,245383;24,744079
10:13:24,214;387,076915;0,093651;0,104895;0,144444;-1,934458;-2,934323;-2,329385;24,751955
10:13:24,264;387,736988;0,093021;0,105735;0,147384;-1,879328;-2,892323;-2,224382;24,746704
10:13:24,314;388,302765;0,097117;0,10962;0,148671;-1,944959;-2,868698;-2,290009;24,746704
10:13:24,364;388,019877;0,096381;0,108675;0,147384;-1,913456;-2,900198;-2,250633;24,754581
10:13:24,414;388,962838;0,095436;0,109935;0,148119;-1,942333;-2,902823;-2,295259;24,746704
10:13:24,464;387,265507;0,096066;0,110145;0,146833;-1,884578;-2,826698;-2,261133;24,765083
10:13:24,514;386,888323;0,097011;0,10857;0,148119;-1,929207;-2,913323;-2,284759;24,754581
10:13:24,564;387,4541;0,095226;0,110145;0,147017;-1,884578;-2,842448;-2,227007;24,757206
10:13:24,614;388,114173;0,091446;0,103005;0,147568;-1,910831;-2,926448;-2,303135;24,767708
10:13:24,664;387,265507;0,093336;0,104685;0,145363;-1,90033;-2,842448;-2,245383;24,757206
10:13:24,714;386,605434;0,094491;0,108465;0,147201;-1,939708;-2,908073;-2,279509;24,74933
10:13:24,764;388,774246;0,094491;0,10752;0,148671;-1,863576;-2,852948;-2,258508;24,751955
10:13:24,814;386,605434;0,095646;0,110565;0,148487;-1,910831;-2,923823;-2,287384;24,770334
10:13:24,864;387,359804;0,095751;0,109725;0,147752;-1,855701;-2,884448;-2,224382;24,751955
10:13:24,914;387,548396;0,095226;0,107415;0,148854;-1,934458;-2,879198;-2,287384;24,74933
10:13:24,964;387,736988;0,099427;0,11193;0,148854;-1,884578;-2,889698;-2,240133;24,746704
10:13:25,014;386,888323;0,095541;0,105735;0,146833;-1,913456;-2,892323;-2,303135;24,762457
10:13:25,064;387,4541;0,098692;0,10983;0,147384;-1,879328;-2,818823;-2,198131;24,751955
10:13:25,114;385,190992;0,096591;0,10899;0,146466;-1,947584;-2,905448;-2,31101;24,754581
10:13:25,164;386,039657;0,092076;0,10857;0,144996;-1,921332;-2,905448;-2,250633;24,741454
10:13:25,214;386,22825;0,093336;0,10416;0,147201;-1,950209;-2,942198;-2,308385;24,762457
10:13:25,264;386,416842;0,093861;0,10836;0,146466;-1,866202;-2,873948;-2,224382;24,751955
10:13:25,314;385,756769;0,094491;0,10563;0,147017;-1,96071;-2,952697;-2,292634;24,759832
10:13:25,364;386,22825;0,097747;0,107415;0,148671;-1,889829;-2,850323;-2,258508;24,744079
10:13:25,414;385,662473;0,096066;0,10815;0,147936;-1,929207;-2,926448;-2,290009;24,736203
10:13:25,464;385,851065;0,098482;0,1113;0,149773;-1,876703;-2,845073;-2,234882;24,738828
10:13:25,514;385,379584;0,095331;0,10836;0,150324;-1,921332;-2,913323;-2,279509;24,741454
10:13:25,564;386,605434;0,097642;0,112875;0,150875;-1,889829;-2,800449;-2,206006;24,741454
10:13:25,614;386,322546;0,097957;0,110775;0,149589;-1,929207;-2,897573;-2,318885;24,765083
