Time,Temperature TS outlet (Mean),Temperature TS inlet (Mean),Bypass temperature (Mean),Tank temperature (Mean),TS outlet pressure (Mean),TS inlet pressure (Mean),Pump outlet pressure (Mean),Flow rate (Mean),reading_interval_s,elapsed_runtime_s,elapsed_runtime_m,Differential pressure (Mean),Pump to inlet DP,Total system DP,Relative_DP,Pressure_Ratio,Relative_Ratio_Dev,Plug_Label
2022-10-13 15:21:18.269,22.695437,-0.98416,23.153177,-1.45029,0.063325,0.073975,0.123396,0.825674,1.0,4663.0,77.71666666666667,0.010649999999999993,0.04942100000000001,0.060071,1.000858054465632,0.21549107684836694,0.0004610433880336551,0
2022-10-13 15:21:19.269,22.685592,-0.980223,23.155934,-1.459477,0.063157,0.07324,0.123056,1.023696,1.0,4664.0,77.73333333333333,0.010082999999999995,0.049816,0.059898999999999994,0.9979923191629385,0.20240078687998062,0.06117935696329069,0
2022-10-13 15:21:20.269,22.693599,-0.976285,23.158297,-1.463677,0.063829,0.074526,0.123948,1.014266,1.0,4665.0,77.75,0.010696999999999998,0.04942200000000001,0.060119000000000006,1.0016577945501046,0.21643769095360452,0.003929754082105497,0
2022-10-13 15:21:21.269,22.68953,-0.966047,23.162235,-1.46919,0.063204,0.07428,0.123084,0.773811,1.0,4666.0,77.76666666666667,0.011076000000000003,0.048804,0.05988,0.9976757553795017,0.22694396065976852,0.052662286368686084,0
2022-10-13 15:21:22.269,22.689268,-0.958828,23.16578,-1.474833,0.064123,0.074143,0.123984,0.886966,1.0,4667.0,77.78333333333333,0.010020000000000001,0.049840999999999996,0.059861,0.9973591915960646,0.2010352714578067,0.06751319630494323,0
2022-10-13 15:21:23.269,22.691105,-0.960009,23.170637,-1.479165,0.063488,0.074091,0.123249,0.811529,1.0,4668.0,77.8,0.010603000000000001,0.04915799999999999,0.059760999999999995,0.99569306642008,0.21568786997294498,0.00045176654027523355,0
2022-10-13 15:21:24.269,22.690318,-0.956728,23.164467,-1.490321,0.06321,0.073387,0.123323,0.990692,1.0,4669.0,77.81666666666666,0.010176999999999992,0.04993600000000001,0.060113,1.0015578270395453,0.20379678394777398,0.054704130828718944,0
2022-10-13 15:21:25.269,22.688612,-0.952922,23.167617,-1.487302,0.063703,0.074316,0.12403,0.811529,1.0,4670.0,77.83333333333333,0.010612999999999997,0.04971400000000001,0.060327000000000006,1.0051233349161524,0.21347681786181225,0.00980403037019928,0
2022-10-13 15:21:26.269,22.691368,-0.947146,23.166305,-1.496358,0.063372,0.07282,0.122588,0.868107,1.0,4671.0,77.85,0.009447999999999998,0.04976800000000001,0.059216000000000005,0.9866126842109648,0.18983704715786928,0.11945530730261744,0
2022-10-13 15:21:27.269,22.690187,-0.936777,23.171687,-1.497408,0.064249,0.074453,0.124186,0.976548,1.0,4672.0,77.86666666666666,0.010204000000000005,0.049733,0.059937000000000004,0.9986254467298128,0.20517151244621396,0.04832755733411287,0
2022-10-13 15:21:28.269,22.692943,-0.931265,23.173918,-1.506333,0.063945,0.074043,0.124131,0.778526,1.0,4673.0,77.88333333333334,0.010097999999999996,0.05008800000000001,0.060186,1.0027740984180142,0.2016011499530834,0.06488841197971562,0
2022-10-13 15:21:29.269,22.69675,-0.920239,23.173656,-1.510008,0.063577,0.074694,0.124526,0.934114,1.0,4674.0,77.9,0.011117000000000002,0.049832,0.060949,1.0154866335107757,0.22308510424818898,0.034763274642740205,0
2022-10-13 15:21:30.269,22.682705,-0.924177,23.171162,-1.519196,0.063099,0.073597,0.122588,0.929399,1.0,4675.0,77.91666666666667,0.010497999999999993,0.04899100000000001,0.059489,0.9911612059414023,0.2142798824297843,0.006079076501563474,0
2022-10-13 15:21:31.269,22.695831,-0.923258,23.173393,-1.520377,0.063903,0.074379,0.123644,1.070844,1.0,4676.0,77.93333333333334,0.010476,0.049265,0.059741,0.9953598413848832,0.2126415783704786,0.013678225171667613,0
2022-10-13 15:21:32.269,22.696356,-0.911577,23.171818,-1.522083,0.062989,0.073345,0.123314,1.014266,1.0,4677.0,77.95,0.01035599999999999,0.049969,0.06032499999999999,1.0050900124126323,0.2072443466079646,0.03871287386058886,0
2022-10-13 15:21:33.269,22.695043,-0.910395,23.174444,-1.531533,0.063115,0.073161,0.123268,0.594648,1.0,4678.0,77.96666666666667,0.010046,0.050107,0.060153,1.0022242771099392,0.20048694819190546,0.07005655203503058,0
2022-10-13 15:21:34.269,22.699375,-0.905014,23.178776,-1.537571,0.063388,0.074143,0.124104,1.136851,1.0,4679.0,77.98333333333333,0.010755,0.049961000000000005,0.060716000000000006,1.0116045618507319,0.21526360033625555,0.0015161758737723963,0
2022-10-13 15:21:35.269,22.691368,-0.893989,23.171556,-1.541508,0.063845,0.074217,0.123654,0.981262,1.0,4680.0,78.0,0.010372000000000006,0.049436999999999995,0.059809,0.9964928065045526,0.2097981309923542,0.026867339389660905,0
